seed,arm,fold,bacc,mcc,mae_plain,macro_mae_true,qwk,lr,wd,epoch,grid_edge_wd,grid_edge_epoch,per_class_recall
0,B0,10,0.6518387405979217,0.7406703524595601,0.2260748959778086,0.4483195634388646,0.8954718987097086,0.01,10.0,690,False,False,"[0.9826589595375722, 0.5131578947368421, 0.8520408163265306, 0.34210526315789475, 0.5692307692307692]"
0,B0,11,0.647768128005412,0.7481220370794496,0.21467391304347827,0.4583855585744804,0.8952390863083811,0.01,10.0,530,False,False,"[0.9815303430079155, 0.6133333333333333, 0.8563829787234043, 0.39473684210526316, 0.39285714285714285]"
0,B0,12,0.6587711416490486,0.7307570140453572,0.23601637107776263,0.4465409325816303,0.8838294500288817,0.01,0.01,100,False,False,"[0.96875, 0.625, 0.8046511627906977, 0.29545454545454547, 0.6]"
0,B0,13,0.6658230926233293,0.7472414256494787,0.2259810554803789,0.44744925960940574,0.8866924446393639,0.01,3.0,460,False,False,"[0.9917808219178083, 0.6923076923076923, 0.7729468599033816, 0.3548387096774194, 0.5172413793103449]"
0,B0,14,0.6502871359800644,0.7377069181442631,0.2373806275579809,0.46395713142933037,0.8855480743814834,0.01,10.0,510,False,False,"[0.9862258953168044, 0.5942028985507246, 0.8290155440414507, 0.35714285714285715, 0.48484848484848486]"
0,B1,0,0.6689276257086344,0.6647625048454127,0.30273972602739724,0.4551944446083473,0.8616200185759523,0.01,30.0,130,False,False,"[0.9758064516129032, 0.6338028169014085, 0.5202020202020202, 0.696969696969697, 0.5178571428571429]"
0,B1,1,0.68942940856004,0.7131558013178821,0.25271739130434784,0.4000568443334302,0.8870941256795181,0.01,10.0,550,False,False,"[0.9811320754716981, 0.7285714285714285, 0.6262135922330098, 0.5294117647058824, 0.5818181818181818]"
0,B1,2,0.6922464885904254,0.7020677664822166,0.2874493927125506,0.43399295849277947,0.8660903931952973,0.01,10.0,360,False,False,"[0.9719101123595506, 0.7532467532467533, 0.6180904522613065, 0.5490196078431373, 0.5689655172413793]"
0,B1,3,0.6864038115686435,0.7124495401833775,0.2727272727272727,0.43101229385846657,0.8738774648878052,0.01,10.0,270,False,False,"[0.9722991689750693, 0.7894736842105263, 0.6335078534031413, 0.4722222222222222, 0.5645161290322581]"
0,B1,4,0.6645672799647377,0.6923476106094905,0.2880658436213992,0.45080748050483493,0.8717515247599784,0.01,10.0,590,False,False,"[0.9797101449275363, 0.6842105263157895, 0.6292682926829268, 0.4358974358974359, 0.59375]"
