dataset,fold,arm,label,recall
aptos2019,13,emb_ema,1,0.7435897435897436
aptos2019,13,emb_ema,2,0.5990338164251208
aptos2019,13,emb_ema,3,0.6451612903225806
aptos2019,13,emb_ema,4,0.5172413793103449
aptos2019,13,first2,0,0.9808219178082191
aptos2019,13,first2,1,0.8076923076923077
aptos2019,13,first2,2,0.5845410628019324
aptos2019,13,first2,3,0.4838709677419355
aptos2019,13,first2,4,0.5517241379310345
aptos2019,13,first2_ema,0,0.9698630136986301
aptos2019,13,first2_ema,1,0.8076923076923077
aptos2019,13,first2_ema,2,0.5700483091787439
aptos2019,13,first2_ema,3,0.6129032258064516
aptos2019,13,first2_ema,4,0.5689655172413793
aptos2019,13,full_llrd,0,0.9835616438356164
aptos2019,13,full_llrd,1,0.7307692307692307
aptos2019,13,full_llrd,2,0.7439613526570048
aptos2019,13,full_llrd,3,0.45161290322580644
aptos2019,13,full_llrd,4,0.5689655172413793
aptos2019,13,full_llrd_ema,0,0.9863013698630136
aptos2019,13,full_llrd_ema,1,0.782051282051282
aptos2019,13,full_llrd_ema,2,0.6763285024154589
aptos2019,13,full_llrd_ema,3,0.5483870967741935
aptos2019,13,full_llrd_ema,4,0.603448275862069
aptos2019,13,selected_surgical,0,0.9835616438356164
aptos2019,13,selected_surgical,1,0.7307692307692307
aptos2019,13,selected_surgical,2,0.7439613526570048
aptos2019,13,selected_surgical,3,0.45161290322580644
aptos2019,13,selected_surgical,4,0.5689655172413793
aptos2019,14,emb,0,0.9586776859504132
aptos2019,14,emb,1,0.7681159420289855
aptos2019,14,emb,2,0.6113989637305699
aptos2019,14,emb,3,0.6904761904761905
aptos2019,14,emb,4,0.48484848484848486
aptos2019,14,emb_ema,0,0.9641873278236914
aptos2019,14,emb_ema,1,0.7971014492753623
aptos2019,14,emb_ema,2,0.5906735751295337
aptos2019,14,emb_ema,3,0.6666666666666666
aptos2019,14,emb_ema,4,0.48484848484848486
aptos2019,14,first2,0,0.9669421487603306
aptos2019,14,first2,1,0.7246376811594203
aptos2019,14,first2,2,0.6580310880829016
aptos2019,14,first2,3,0.7142857142857143
aptos2019,14,first2,4,0.4696969696969697
aptos2019,14,first2_ema,0,0.9641873278236914
aptos2019,14,first2_ema,1,0.7971014492753623
aptos2019,14,first2_ema,2,0.5906735751295337
aptos2019,14,first2_ema,3,0.6666666666666666
aptos2019,14,first2_ema,4,0.48484848484848486
aptos2019,14,full_llrd,0,0.9724517906336089
aptos2019,14,full_llrd,1,0.7246376811594203
aptos2019,14,full_llrd,2,0.7668393782383419
aptos2019,14,full_llrd,3,0.35714285714285715
aptos2019,14,full_llrd,4,0.6212121212121212
aptos2019,14,full_llrd_ema,0,0.9696969696969697
aptos2019,14,full_llrd_ema,1,0.855072463768116
aptos2019,14,full_llrd_ema,2,0.6735751295336787
aptos2019,14,full_llrd_ema,3,0.6904761904761905
aptos2019,14,full_llrd_ema,4,0.5151515151515151
aptos2019,14,selected_surgical,0,0.9724517906336089
aptos2019,14,selected_surgical,1,0.7246376811594203
aptos2019,14,selected_surgical,2,0.7668393782383419
aptos2019,14,selected_surgical,3,0.35714285714285715
aptos2019,14,selected_surgical,4,0.6212121212121212
