dataset,fold,arm,reference,disagreement,correctness_disagreement,sampling_sd_floor
aptos2019,4,selected_surgical,frozen_lr,0.06172839506172839,0.04252400548696845,0.01273924893953923
aptos2019,4,selected_surgical,last2,0.149519890260631,0.11796982167352538,0.023927525136174535
aptos2019,4,selected_surgical,full,0.1906721536351166,0.15912208504801098,0.022126514402324278
aptos2019,4,selected_surgical,selected_training,0.09465020576131687,0.07544581618655692,0.01854342278353444
aptos2019,5,emb,frozen_lr,0.0,0.0,0.0
aptos2019,5,emb,last2,0.16576819407008087,0.14150943396226415,0.021237684930942365
aptos2019,5,emb,full,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,emb,selected_training,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,emb_ema,frozen_lr,0.0,0.0,0.0
aptos2019,5,emb_ema,last2,0.16576819407008087,0.14150943396226415,0.021237684930942365
aptos2019,5,emb_ema,full,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,emb_ema,selected_training,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,first2,frozen_lr,0.0,0.0,0.0
aptos2019,5,first2,last2,0.16576819407008087,0.14150943396226415,0.021237684930942365
aptos2019,5,first2,full,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,first2,selected_training,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,first2_ema,frozen_lr,0.0,0.0,0.0
aptos2019,5,first2_ema,last2,0.16576819407008087,0.14150943396226415,0.021237684930942365
aptos2019,5,first2_ema,full,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,first2_ema,selected_training,0.20485175202156333,0.18194070080862534,0.025964960331996263
aptos2019,5,full_llrd,frozen_lr,0.16576819407008087,0.1334231805929919,0.024431847633540914
aptos2019,5,full_llrd,last2,0.11994609164420485,0.10512129380053908,0.02097680821396126
aptos2019,5,full_llrd,full,0.09838274932614555,0.08355795148247978,0.01735579440973789
aptos2019,5,full_llrd,selected_training,0.09838274932614555,0.08355795148247978,0.01735579440973789
aptos2019,5,full_llrd_ema,frozen_lr,0.11725067385444744,0.09568733153638814,0.01883751551971587
aptos2019,5,full_llrd_ema,last2,0.10646900269541779,0.09164420485175202,0.017705243374784043
aptos2019,5,full_llrd_ema,full,0.14016172506738545,0.12668463611859837,0.022588149250873265
aptos2019,5,full_llrd_ema,selected_training,0.14016172506738545,0.12668463611859837,0.022588149250873265
aptos2019,5,selected_surgical,frozen_lr,0.16576819407008087,0.1334231805929919,0.024431847633540914
aptos2019,5,selected_surgical,last2,0.11994609164420485,0.10512129380053908,0.02097680821396126
aptos2019,5,selected_surgical,full,0.09838274932614555,0.08355795148247978,0.01735579440973789
aptos2019,5,selected_surgical,selected_training,0.09838274932614555,0.08355795148247978,0.01735579440973789
aptos2019,6,emb,frozen_lr,0.0,0.0,0.0
aptos2019,6,emb,last2,0.17050067658998647,0.13667117726657646,0.023077276833400804
aptos2019,6,emb,full,0.13667117726657646,0.10825439783491204,0.020351955276183883
aptos2019,6,emb,selected_training,0.13667117726657646,0.10825439783491204,0.020351955276183883
aptos2019,6,emb_ema,frozen_lr,0.014884979702300407,0.010825439783491205,0.00777012227362838
aptos2019,6,emb_ema,last2,0.16779431664411368,0.13396481732070364,0.022344447359458716
aptos2019,6,emb_ema,full,0.13261163734776726,0.10554803788903924,0.01999670437650449
aptos2019,6,emb_ema,selected_training,0.13261163734776726,0.10554803788903924,0.01999670437650449
aptos2019,6,first2,frozen_lr,0.0,0.0,0.0
aptos2019,6,first2,last2,0.17050067658998647,0.13667117726657646,0.023077276833400804
aptos2019,6,first2,full,0.13667117726657646,0.10825439783491204,0.020351955276183883
aptos2019,6,first2,selected_training,0.13667117726657646,0.10825439783491204,0.020351955276183883
aptos2019,6,first2_ema,frozen_lr,0.016238159675236806,0.010825439783491205,0.008278509411774293
aptos2019,6,first2_ema,last2,0.16508795669824086,0.13125845737483086,0.022382670294066008
aptos2019,6,first2_ema,full,0.12719891745602166,0.10013531799729364,0.019743955757013924
