dataset,fold,arm,actual_arm,seed,bacc,epoch,lr,inner_bacc,n_train,n_test,predictions_sha256,ref_frozen_lr,ref_lora,ref_last2,ref_full,ref_selected_training,previous_bt
aptos2019,3,first2,first2,0,0.683973567744254,1,1e-05,0.6834877646322818,2936,726,86bd6c77e52470d2575074fca31c1ff675756fdf2e23f7ffda1bedbfa765f98b,0.6963652334479491,0.6969025715576211,0.6963652334479491,0.6963652334479491,0.6969025715576211,lora
aptos2019,3,first2_ema,first2_ema,0,0.6963652334479491,0,1e-05,0.6803557600507973,2936,726,84c5134cde6e2aaee8eaeb77cdd36dee802d4b6df79703436f160b37767f4fd6,0.6963652334479491,0.6969025715576211,0.6963652334479491,0.6963652334479491,0.6969025715576211,lora
aptos2019,3,full_llrd,full_llrd,0,0.6963652334479491,0,1e-05,0.6803557600507973,2936,726,84c5134cde6e2aaee8eaeb77cdd36dee802d4b6df79703436f160b37767f4fd6,0.6963652334479491,0.6969025715576211,0.6963652334479491,0.6963652334479491,0.6969025715576211,lora
aptos2019,3,full_llrd_ema,full_llrd_ema,0,0.7271495798611128,7,0.0001,0.709732540394322,2936,726,a50ff9bd057a3b1897139a0bef284b889683a7bbd7989a1bc45c0f546dfaabd0,0.6963652334479491,0.6969025715576211,0.6963652334479491,0.6963652334479491,0.6969025715576211,lora
aptos2019,3,selected_surgical,first2,0,0.683973567744254,1,1e-05,0.6834877646322818,2936,726,86bd6c77e52470d2575074fca31c1ff675756fdf2e23f7ffda1bedbfa765f98b,0.6963652334479491,0.6969025715576211,0.6963652334479491,0.6963652334479491,0.6969025715576211,lora
aptos2019,4,emb,emb,0,0.6262421960307,2,1e-05,0.6887698548654564,2933,729,fa05c764626a2d8d99a27942e8788065fc9bcc5a1921870df3c4752e348257ef,0.6620389012440555,0.6629213302650541,0.640550618557365,0.6153648679881447,0.6629213302650541,lora
aptos2019,4,emb_ema,emb_ema,0,0.6543649644085334,5,1e-05,0.6862603468484246,2933,729,719b91229a4dff7f77b2d432d3fde7cd4f303a61769575b1b55386320ed1de8c,0.6620389012440555,0.6629213302650541,0.640550618557365,0.6153648679881447,0.6629213302650541,lora
aptos2019,4,first2,first2,0,0.6670796044223863,3,1e-05,0.701133458181145,2933,729,cd2e48fad4e7a558c3e8ca5969c38eaa39f2aacf1f9f77b0a94da1a9f36aedb3,0.6620389012440555,0.6629213302650541,0.640550618557365,0.6153648679881447,0.6629213302650541,lora
aptos2019,4,first2_ema,first2_ema,0,0.6610147628738213,2,0.0001,0.7024962945188272,2933,729,862e7684b13333ade4c53ded81ba33bff88a9442f9d1a5c488492cfb87526707,0.6620389012440555,0.6629213302650541,0.640550618557365,0.6153648679881447,0.6629213302650541,lora
aptos2019,4,full_llrd,full_llrd,0,0.6614603762291363,10,1e-05,0.6958185969592304,2933,729,e19e866e0fb92cf88fa66e79eb08bbb5d8d93639ff8f69f246c8a34d9b0a9225,0.6620389012440555,0.6629213302650541,0.640550618557365,0.6153648679881447,0.6629213302650541,lora
aptos2019,4,full_llrd_ema,full_llrd_ema,0,0.6948415870259301,6,0.0001,0.7198557864140923,2933,729,5cc813a2ef5a4a8f00bb822810e9b7e693e7bca5ebeb62329ae88a65763874bc,0.6620389012440555,0.6629213302650541,0.640550618557365,0.6153648679881447,0.6629213302650541,lora
aptos2019,4,selected_surgical,first2,0,0.6670796044223863,3,1e-05,0.701133458181145,2933,729,cd2e48fad4e7a558c3e8ca5969c38eaa39f2aacf1f9f77b0a94da1a9f36aedb3,0.6620389012440555,0.6629213302650541,0.640550618557365,0.6153648679881447,0.6629213302650541,lora
aptos2019,5,emb,emb,0,0.6972595765816105,0,1e-05,0.668084227591288,2920,742,6ba534999d7e1e1ff10850d006c5b8523bdb314ac3151b6f7165ccaedd00a21e,0.6972595765816105,0.6929372322592662,0.701800459427578,0.6489377289377289,0.6489377289377289,full
aptos2019,5,emb_ema,emb_ema,0,0.6972595765816105,0,1e-05,0.668084227591288,2920,742,6ba534999d7e1e1ff10850d006c5b8523bdb314ac3151b6f7165ccaedd00a21e,0.6972595765816105,0.6929372322592662,0.701800459427578,0.6489377289377289,0.6489377289377289,full
aptos2019,5,first2,first2,0,0.6972595765816105,0,1e-05,0.668084227591288,2920,742,6ba534999d7e1e1ff10850d006c5b8523bdb314ac3151b6f7165ccaedd00a21e,0.6972595765816105,0.6929372322592662,0.701800459427578,0.6489377289377289,0.6489377289377289,full
aptos2019,5,first2_ema,first2_ema,0,0.6972595765816105,0,1e-05,0.668084227591288,2920,742,6ba534999d7e1e1ff10850d006c5b8523bdb314ac3151b6f7165ccaedd00a21e,0.6972595765816105,0.6929372322592662,0.701800459427578,0.6489377289377289,0.6489377289377289,full
