condition,seed,arm,fold,bacc,mcc,macro_mae,lr,wd,epoch,per_class_recall
group,0,B0,10,0.6635776488800976,0.7443587243041655,0.2305593451568895,0.01,0.1,70,"[0.9914285714285714, 0.6708860759493671, 0.8031088082901554, 0.275, 0.5774647887323944]"
group,0,B0,11,0.6134235793823016,0.7143925680650731,0.23874488403819918,0.001,0.1,160,"[0.9640883977900553, 0.5802469135802469, 0.8325123152709359, 0.2702702702702703, 0.42]"
group,0,B0,12,0.6303807713736831,0.7333474533163602,0.23841961852861035,0.01,0.1,60,"[0.9914772727272727, 0.6285714285714286, 0.8127853881278538, 0.27906976744186046, 0.44]"
group,0,B0,13,0.6417610211794859,0.7122618786951515,0.26875852660300137,0.01,0.1,30,"[0.9748603351955307, 0.6338028169014085, 0.783068783068783, 0.3170731707317073, 0.5]"
group,0,B0,14,0.6541866928054351,0.7454880731196221,0.2112482853223594,0.01,10.0,380,"[0.9869451697127938, 0.5362318840579711, 0.8102564102564103, 0.4375, 0.5]"
group,0,B1,0,0.6513854798335681,0.6612942429833081,0.32421340629274964,0.01,10.0,20,"[0.9745762711864406, 0.7183098591549296, 0.5308056872037915, 0.48484848484848486, 0.5483870967741935]"
group,0,B1,1,0.6686223248582404,0.683575475796197,0.27967257844474763,0.01,10.0,110,"[0.9628571428571429, 0.6901408450704225, 0.6363636363636364, 0.46, 0.59375]"
group,0,B1,2,0.6579947106943675,0.657569927507619,0.3251700680272109,0.01,10.0,160,"[0.9624664879356568, 0.7466666666666667, 0.48936170212765956, 0.5476190476190477, 0.543859649122807]"
group,0,B1,3,0.6805850554061388,0.6942238998437122,0.28065395095367845,0.01,10.0,250,"[0.9746478873239437, 0.7303370786516854, 0.6, 0.5897435897435898, 0.5081967213114754]"
group,0,B1,4,0.6946608158365362,0.7165447804877946,0.23868312757201646,0.01,10.0,330,"[0.9785522788203753, 0.703125, 0.6367924528301887, 0.5862068965517241, 0.5686274509803921]"
group,0,B1,5,0.7155004277844575,0.7180140771734936,0.25474254742547425,0.01,10.0,230,"[0.9780821917808219, 0.8481012658227848, 0.57, 0.6428571428571429, 0.5384615384615384]"
group,0,B1,6,0.6415955354384815,0.6614149816701562,0.3113854595336077,0.001,3.0,100,"[0.9747899159663865, 0.625, 0.5714285714285714, 0.4883720930232558, 0.5483870967741935]"
group,0,B1,7,0.6845876158808732,0.6900795512569856,0.289437585733882,0.01,10.0,80,"[0.9805555555555555, 0.6533333333333333, 0.6030150753768844, 0.6785714285714286, 0.5074626865671642]"
group,0,B1,8,0.7054094237554969,0.6960505540493129,0.27694406548431105,0.01,10.0,20,"[0.9509536784741145, 0.7721518987341772, 0.5824175824175825, 0.6842105263157895, 0.5373134328358209]"
group,0,B1,9,0.6884837772254612,0.69755483407754,0.2673942701227831,0.01,10.0,310,"[0.9747191011235955, 0.7945205479452054, 0.586046511627907, 0.6190476190476191, 0.46808510638297873]"
group,0,B1,10,0.7038218274030621,0.708470334350341,0.26875852660300137,0.01,10.0,30,"[0.9828571428571429, 0.7468354430379747, 0.6010362694300518, 0.625, 0.5633802816901409]"
group,0,B1,11,0.701281704751318,0.6922109182400924,0.2728512960436562,0.01,10.0,160,"[0.9585635359116023, 0.7407407407407407, 0.5714285714285714, 0.6756756756756757, 0.56]"
group,0,B1,12,0.6476026045739329,0.6845547188100708,0.2901907356948229,0.001,1.0,70,"[0.9886363636363636, 0.7, 0.6210045662100456, 0.4883720930232558, 0.44]"
group,0,B1,13,0.6978211901270075,0.6968787725018729,0.2892223738062756,0.01,10.0,50,"[0.9608938547486033, 0.7183098591549296, 0.6243386243386243, 0.6585365853658537, 0.527027027027027]"
group,0,B1,14,0.7061681540731943,0.7108376498815854,0.252400548696845,0.01,10.0,40,"[0.9765013054830287, 0.782608695652174, 0.5692307692307692, 0.5625, 0.64]"
group,0,B4,0,0.6749339492012159,0.68349017455662,0.2749658002735978,0.001,3.0,170,"[0.9887005649717514, 0.6619718309859155, 0.5734597156398105, 0.6666666666666666, 0.4838709677419355]"
group,0,B4,1,0.6769141719000873,0.6804454112988754,0.25648021828103684,0.01,10.0,120,"[0.9685714285714285, 0.6901408450704225, 0.5858585858585859, 0.64, 0.5]"
group,0,B4,2,0.666572414722849,0.6761354656646342,0.2693877551020408,0.01,10.0,600,"[0.9705093833780161, 0.7333333333333333, 0.5425531914893617, 0.5952380952380952, 0.49122807017543857]"
