arm,base_arm,recipe,dataset,fold,bacc,mcc,macro_mae,per_class_recall,n_train,n_test,lr,wd,epoch,train_ce_best,train_ce_best_epoch,train_loss_final,grad_norm_final,w_norm,count_mode,seconds
A0_sel,A0,sel,oral_diseases,3,0.7483738483738483,0.7050760983917032,0.4077669902912621,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5555555555555556, 0.5454545454545454, 0.7222222222222222, 0.9230769230769231]",413,103,0.01,3.0,40,0.05769893527030945,37,0.0585845485329628,0.075314462184906,3.2330844402313232,train,13.218369722366333
A0_sel,A0,sel,oral_diseases,4,0.71457891523681,0.6716779906429828,0.49514563106796117,"[0.6875, 1.0, 0.75, 0.6111111111111112, 0.5, 0.6842105263157895, 0.7692307692307693]",413,103,0.001,1.0,20,0.49150070548057556,20,0.49150070548057556,0.5083046555519104,1.7990734577178955,train,13.04347825050354
A0_sel,A0,sel,oral_diseases,5,0.7838082239398029,0.7413794672592524,0.3173076923076923,"[0.9375, 0.9333333333333333, 0.75, 0.5555555555555556, 0.7272727272727273, 0.7368421052631579, 0.8461538461538461]",412,104,0.001,10.0,40,0.35181131958961487,40,0.35181131958961487,0.3405759334564209,1.6126134395599365,train,13.100842237472534
A0_sel,A0,sel,oral_diseases,6,0.7480661881977672,0.7152225281970434,0.42718446601941745,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6666666666666666, 0.5454545454545454, 0.7368421052631579, 0.75]",413,103,0.001,1.0,150,0.08295340090990067,150,0.08295340090990067,0.08177009224891663,3.128068447113037,train,12.631483316421509
A0_sel,A0,sel,oral_diseases,7,0.7059818105870737,0.6705132521643772,0.39805825242718446,"[0.8125, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.5454545454545454, 0.7894736842105263, 0.5833333333333334]",413,103,0.001,10.0,30,0.41834673285484314,30,0.41834673285484314,0.4159763753414154,1.574243426322937,train,13.297912120819092
A0_sel,A0,sel,oral_diseases,8,0.8063825063825064,0.7639717438434888,0.42718446601941745,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.7222222222222222, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",413,103,0.01,1.0,70,0.020090172067284584,53,0.021360108628869057,0.02188790962100029,4.384149074554443,train,12.97233271598816
A0_sel,A0,sel,oral_diseases,9,0.7001405757984706,0.6586125400159228,0.4174757281553398,"[0.8125, 1.0, 0.8333333333333334, 0.5555555555555556, 0.4, 0.6842105263157895, 0.6153846153846154]",413,103,0.001,3.0,20,0.512215256690979,20,0.512215256690979,0.5418562293052673,1.7387535572052002,train,12.850191593170166
A0_sel,A0,sel,oral_diseases,10,0.6608742135057925,0.6082351023128846,0.5384615384615384,"[0.75, 1.0, 0.75, 0.3333333333333333, 0.36363636363636365, 0.7368421052631579, 0.6923076923076923]",412,104,0.001,1.0,20,0.5171831846237183,20,0.5171831846237183,0.5233171582221985,1.8014330863952637,train,12.843252897262573
A0_sel,A0,sel,oral_diseases,11,0.6649939242044506,0.6134502741938832,0.6504854368932039,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.5555555555555556, 0.5454545454545454, 0.5789473684210527, 0.5]",413,103,0.001,10.0,70,0.24487248063087463,70,0.24487248063087463,0.26660245656967163,1.6838568449020386,train,13.244286060333252
A0_sel,A0,sel,oral_diseases,12,0.775053163211058,0.7284798235024452,0.4174757281553398,"[0.875, 1.0, 0.9166666666666666, 0.5555555555555556, 0.7272727272727273, 0.6842105263157895, 0.6666666666666666]",413,103,0.001,10.0,40,0.35031580924987793,40,0.35031580924987793,0.33968502283096313,1.597245216369629,train,12.754153490066528
