bacc,mcc,macro_mae,classmean_mae,per_class_recall,arm,dataset,fold,alpha,epochs
0.6358380829698732,0.7213171751970409,0.24965893587994542,0.48191905700497656,"[0.9722991689750693, 0.6081081081081081, 0.8, 0.2564102564102564, 0.5423728813559322]",B6s10,aptos2019,11,1.0,500
0.5839557027801077,0.6614515972629371,0.2896174863387978,0.5338640286373044,"[0.96398891966759, 0.6486486486486487, 0.705, 0.2631578947368421, 0.3389830508474576]",B6s10,aptos2019,12,1.0,500
0.6693059158975869,0.7369868022924051,0.226775956284153,0.4441356541291749,"[0.9750692520775623, 0.7297297297297297, 0.78, 0.42105263157894735, 0.4406779661016949]",B6s10,aptos2019,13,1.0,500
0.6045167890650055,0.7239852634377301,0.24453551912568305,0.520413357515767,"[0.9833795013850416, 0.4864864864864865, 0.864321608040201, 0.23076923076923078, 0.4576271186440678]",B6s10,aptos2019,14,1.0,500
0.6653672602382401,0.7376646922409246,0.21828103683492497,0.41555295806917947,"[0.9861495844875346, 0.6621621621621622, 0.785, 0.4358974358974359, 0.4576271186440678]",B6s20,aptos2019,0,2.0,500
0.6384695152740132,0.7267918306049873,0.24829467939972716,0.4894210603753306,"[0.9833795013850416, 0.6486486486486487, 0.795, 0.3076923076923077, 0.4576271186440678]",B6s20,aptos2019,1,2.0,500
0.6349254387022357,0.6953869734030311,0.2691256830601093,0.49249112824736085,"[0.9778393351800554, 0.6081081081081081, 0.71, 0.42105263157894735, 0.4576271186440678]",B6s20,aptos2019,2,2.0,500
0.6328166542522615,0.7170221393188027,0.25546448087431695,0.4891394875790388,"[0.9806094182825484, 0.6081081081081081, 0.785, 0.3157894736842105, 0.4745762711864407]",B6s20,aptos2019,3,2.0,500
0.6204688315991109,0.7005900659858039,0.2581967213114754,0.4938569335695348,"[0.9833795013850416, 0.5540540540540541, 0.7487437185929648, 0.3076923076923077, 0.5084745762711864]",B6s20,aptos2019,4,2.0,500
0.6447314651435032,0.7289312901185805,0.2373806275579809,0.46380953348224113,"[0.9889196675900277, 0.6216216216216216, 0.78, 0.3076923076923077, 0.5254237288135594]",B6s20,aptos2019,5,2.0,500
