bacc,mcc,macro_mae,per_class_recall,n_train,n_test,fold,arm,dataset,backbone,lever,loss,repeat,fold_in_repeat,splitter,count_mode
0.6635532768319284,0.6633543626728928,0.273224043715847,"[0.9335180055401662, 0.6756756756756757, 0.61, 0.6578947368421053, 0.4406779661016949]",2930,732,14,B3,aptos2019,panderm,rebalance,coral,2,4,"StratifiedGroupKFold(5,shuffle,rs=2)",pool
0.6636647226921888,0.6937184010081876,0.2742155525238745,"[0.9778393351800554, 0.6891891891891891, 0.63, 0.5128205128205128, 0.5084745762711864]",2929,733,0,B4,aptos2019,panderm,rebalance,corn,0,0,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6506091200830391,0.6770073637478486,0.28825136612021857,"[0.9750692520775623, 0.6351351351351351, 0.625, 0.5263157894736842, 0.4915254237288136]",2930,732,1,B4,aptos2019,panderm,rebalance,corn,0,1,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6496144030786033,0.7055529074867278,0.2605729877216917,"[0.9861495844875346, 0.7162162162162162, 0.67, 0.3333333333333333, 0.5423728813559322]",2929,733,2,B4,aptos2019,panderm,rebalance,corn,0,2,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6543271629298673,0.6845436752700552,0.2896174863387978,"[0.961218836565097, 0.6756756756756757, 0.645, 0.4473684210526316, 0.5423728813559322]",2930,732,3,B4,aptos2019,panderm,rebalance,corn,0,3,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6615383280068979,0.6973161267158153,0.2718579234972678,"[0.9778393351800554, 0.6891891891891891, 0.6532663316582915, 0.5128205128205128, 0.4745762711864407]",2930,732,4,B4,aptos2019,panderm,rebalance,corn,0,4,"StratifiedGroupKFold(5,shuffle,rs=0)",pool
0.6656646478250778,0.7051514882671517,0.26193724420190995,"[0.9833795013850416, 0.6486486486486487, 0.675, 0.5128205128205128, 0.5084745762711864]",2929,733,5,B4,aptos2019,panderm,rebalance,corn,1,0,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.703193192969051,0.7251243505870145,0.24693042291950887,"[0.9722991689750693, 0.7567567567567568, 0.68, 0.6153846153846154, 0.4915254237288136]",2929,733,6,B4,aptos2019,panderm,rebalance,corn,1,1,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.6586356877559281,0.6985366758177312,0.2650273224043716,"[0.9778393351800554, 0.6486486486486487, 0.66, 0.4473684210526316, 0.559322033898305]",2930,732,7,B4,aptos2019,panderm,rebalance,corn,1,2,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
0.684886891022999,0.7140475873525604,0.2609289617486339,"[0.9806094182825484, 0.6891891891891891, 0.6733668341708543, 0.5897435897435898, 0.4915254237288136]",2930,732,8,B4,aptos2019,panderm,rebalance,corn,1,3,"StratifiedGroupKFold(5,shuffle,rs=1)",pool
