dataset,arm,wave,fold,variant,n_test,n_excluded,n_leaked_in_fold,n_conflict_in_fold,n_leaked_and_conflict,bacc,mcc,per_class_recall,per_class_n,recall_c0,recall_c1,recall_c2,recall_c3,recall_c4,recall_c5,recall_c6
aptos2019,B0,w1,8,full,732,0,47,16,14,0.6385841893351165,0.7007058962560602,"[0.9778393351800554, 0.6351351351351351, 0.72, 0.3684210526315789, 0.4915254237288136]","[361, 74, 200, 38, 59]",0.9778393351800554,0.6351351351351351,0.72,0.3684210526315789,0.4915254237288136,,
aptos2019,B0,w1,8,leakfree,685,47,47,16,14,0.630769494443532,0.6982222844519294,"[0.9776536312849162, 0.5967741935483871, 0.7167630057803468, 0.37142857142857144, 0.49122807017543857]","[358, 62, 173, 35, 57]",0.9776536312849162,0.5967741935483871,0.7167630057803468,0.37142857142857144,0.49122807017543857,,
aptos2019,B0,w1,8,conflict_excluded,683,49,47,16,14,0.6327136121696206,0.6998092409828729,"[0.9775910364145658, 0.6065573770491803, 0.7167630057803468, 0.37142857142857144, 0.49122807017543857]","[357, 61, 173, 35, 57]",0.9775910364145658,0.6065573770491803,0.7167630057803468,0.37142857142857144,0.49122807017543857,,
aptos2019,B0,w1,8,leaked_only,47,685,47,16,14,0.6814814814814816,0.6314802587428532,"[1.0, 0.8333333333333334, 0.7407407407407407, 0.3333333333333333, 0.5]","[3, 12, 27, 3, 2]",1.0,0.8333333333333334,0.7407407407407407,0.3333333333333333,0.5,,
aptos2019,B0,w1,9,full,732,0,41,13,11,0.5892626060102722,0.6777541897220332,"[0.9722991689750693, 0.5405405405405406, 0.7537688442211056, 0.20512820512820512, 0.4745762711864407]","[361, 74, 199, 39, 59]",0.9722991689750693,0.5405405405405406,0.7537688442211056,0.20512820512820512,0.4745762711864407,,
aptos2019,B0,w1,9,leakfree,691,41,41,13,11,0.5872040070579705,0.6753802355961713,"[0.9747899159663865, 0.5079365079365079, 0.7333333333333333, 0.21052631578947367, 0.5094339622641509]","[357, 63, 180, 38, 53]",0.9747899159663865,0.5079365079365079,0.7333333333333333,0.21052631578947367,0.5094339622641509,,
aptos2019,B0,w1,9,conflict_excluded,689,43,41,13,11,0.5888654168684264,0.6762425355832166,"[0.9747899159663865, 0.5079365079365079, 0.7318435754189944, 0.21052631578947367, 0.5192307692307693]","[357, 63, 179, 38, 52]",0.9747899159663865,0.5079365079365079,0.7318435754189944,0.21052631578947367,0.5192307692307693,,
aptos2019,B0,w1,9,leaked_only,41,691,41,13,11,0.5182615629984051,0.5967245824983088,"[0.75, 0.7272727272727273, 0.9473684210526315, 0.0, 0.16666666666666666]","[4, 11, 19, 1, 6]",0.75,0.7272727272727273,0.9473684210526315,0.0,0.16666666666666666,,
aptos2019,B0,w1,10,full,733,0,45,10,10,0.6643416500574583,0.7452201549704509,"[0.9916897506925207, 0.581081081081081, 0.805, 0.38461538461538464, 0.559322033898305]","[361, 74, 200, 39, 59]",0.9916897506925207,0.581081081081081,0.805,0.38461538461538464,0.559322033898305,,
aptos2019,B0,w1,10,leakfree,688,45,45,10,10,0.6520411863454687,0.7418958461505636,"[0.994413407821229, 0.5441176470588235, 0.7931034482758621, 0.375, 0.5535714285714286]","[358, 68, 174, 32, 56]",0.994413407821229,0.5441176470588235,0.7931034482758621,0.375,0.5535714285714286,,
aptos2019,B0,w1,10,conflict_excluded,688,45,45,10,10,0.6520411863454687,0.7418958461505636,"[0.994413407821229, 0.5441176470588235, 0.7931034482758621, 0.375, 0.5535714285714286]","[358, 68, 174, 32, 56]",0.994413407821229,0.5441176470588235,0.7931034482758621,0.375,0.5535714285714286,,
aptos2019,B0,w1,10,leaked_only,45,688,45,10,10,0.7293040293040292,0.6788427001419479,"[0.6666666666666666, 1.0, 0.8846153846153846, 0.42857142857142855, 0.6666666666666666]","[3, 6, 26, 7, 3]",0.6666666666666666,1.0,0.8846153846153846,0.42857142857142855,0.6666666666666666,,
aptos2019,B0,w1,11,full,733,0,34,10,8,0.6237506041183678,0.7039971028144936,"[0.9750692520775623, 0.6216216216216216, 0.765, 0.3333333333333333, 0.423728813559322]","[361, 74, 200, 39, 59]",0.9750692520775623,0.6216216216216216,0.765,0.3333333333333333,0.423728813559322,,
aptos2019,B0,w1,11,leakfree,699,34,34,10,8,0.6132852182852183,0.6946052718543569,"[0.975, 0.5909090909090909, 0.7417582417582418, 0.35135135135135137, 0.4074074074074074]","[360, 66, 182, 37, 54]",0.975,0.5909090909090909,0.7417582417582418,0.35135135135135137,0.4074074074074074,,
