dataset,arm,family,loss,fold,repeat,n_train_fold,n_inner_train,n_inner_val,T,T_converged,T_insample,nll_val_T1,nll_val_T,secs,n_test,n_pred_changed,bacc_T1,bacc_T,exploratory
aptos2019,B0d,softmax,ce,13,2,2930,2637,293,2.5993592325432497,True,0.2956371006922345,0.8785147923043186,0.5749025651106928,0.24,732,0,0.626715369202716,0.626715369202716,탐색적/exploratory
aptos2019,B0d,softmax,ce,14,2,2930,2637,293,2.597364430464298,True,0.2937526684874217,0.9153934847407544,0.5925665328189209,0.25,732,0,0.6440748867814003,0.6440748867814003,탐색적/exploratory
aptos2019,B1,softmax,ce,0,0,2929,2636,293,2.075408772465619,True,0.5528873435434423,0.6722524398256748,0.5130707088892491,0.26,733,0,0.653690343902936,0.653690343902936,탐색적/exploratory
aptos2019,B1,softmax,ce,1,0,2929,2636,293,1.8801058253509428,True,0.5169657290252663,0.5557121038084215,0.46146517360956396,0.26,733,0,0.6559923879247322,0.6559923879247322,탐색적/exploratory
aptos2019,B1,softmax,ce,2,0,2930,2637,293,2.391558722098778,True,0.5507178622200463,0.8183078603940311,0.580050490328409,0.25,732,0,0.6721492012694416,0.6721492012694416,탐색적/exploratory
aptos2019,B1,softmax,ce,3,0,2930,2637,293,2.314276589707117,True,0.5402198737690678,0.7469088378476987,0.5442208277534635,0.26,732,0,0.6813626448646872,0.6813626448646872,탐색적/exploratory
aptos2019,B1,softmax,ce,4,0,2930,2637,293,2.2417907118399802,True,0.5578891969416673,0.7109666429690937,0.5126762011574647,0.26,732,0,0.639772900608512,0.639772900608512,탐색적/exploratory
aptos2019,B1,softmax,ce,5,1,2929,2636,293,2.251372960381214,True,0.5554250535960603,0.7719208491086847,0.5687935924447879,0.28,733,0,0.6333829364546769,0.6333829364546769,탐색적/exploratory
aptos2019,B1,softmax,ce,6,1,2929,2636,293,2.346687842156722,True,0.549459670225515,0.8439992170520731,0.6034282082415924,0.24,733,0,0.7017784607029173,0.7017784607029173,탐색적/exploratory
aptos2019,B1,softmax,ce,7,1,2930,2637,293,1.9762313090744283,True,0.5212857838740586,0.5867799355414999,0.4599444162192835,0.24,732,0,0.6726985888184067,0.6726985888184067,탐색적/exploratory
aptos2019,B1,softmax,ce,8,1,2930,2637,293,2.3356373670055057,True,0.5401064562828377,0.7749701694202386,0.5617890765561608,0.25,732,0,0.6370742745186616,0.6370742745186616,탐색적/exploratory
aptos2019,B1,softmax,ce,9,1,2930,2637,293,2.204554769345253,True,0.5763457033120729,0.6986070816870126,0.5247035631452749,0.27,732,0,0.6073471446234601,0.6073471446234601,탐색적/exploratory
aptos2019,B1,softmax,ce,10,2,2929,2636,293,1.8908049186299614,True,0.5374009593451623,0.5867777308181967,0.4823015057741871,0.26,733,0,0.6824855952392458,0.6824855952392458,탐색적/exploratory
aptos2019,B1,softmax,ce,11,2,2929,2636,293,2.1333172861688565,True,0.5385237187856896,0.7074355422912572,0.5340634732897485,0.27,733,0,0.6170272611290969,0.6170272611290969,탐색적/exploratory
