dataset,arm,scaling,metric,n_repeats,mean,lo,hi,range,exploratory
aptos2019,B0,temp,bacc,3,0.6456506064936439,0.6333373355772423,0.6526393903848001,0.019302054807557867,탐색적/exploratory
aptos2019,B0,temp,mean_conf,3,0.8024647844662444,0.7968922183085755,0.8096117747969224,0.012719556488346884,탐색적/exploratory
aptos2019,B0,temp,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B0d,none,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B0d,none,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B0d,none,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B0d,none,ece_top_ew,3,0.1266508626282373,0.12406122702929889,0.12849240464338602,0.004431177614087123,탐색적/exploratory
aptos2019,B0d,none,ece_top_em,3,0.1251353392914033,0.12140936502088531,0.12849247994601629,0.007083114925130973,탐색적/exploratory
aptos2019,B0d,none,ece_top_db,3,0.16051945509228327,0.15935014735781194,0.16285778127665956,0.003507633918847619,탐색적/exploratory
aptos2019,B0d,none,ece_top_rms_em,3,0.16210905086580338,0.1609050084804426,0.16445115219325301,0.0035461437128104234,탐색적/exploratory
aptos2019,B0d,none,ece_top_bias_corr,3,0.001589595773520099,0.0015545718380642892,0.0016208445659025572,6.627272783826799e-05,탐색적/exploratory
aptos2019,B0d,none,ece_dep_em,3,0.1251353392914033,0.12140936502088531,0.12849247994601629,0.007083114925130973,탐색적/exploratory
aptos2019,B0d,none,cwece_ew,3,0.05372427714929662,0.05299958070078331,0.05413634190086578,0.0011367612000824714,탐색적/exploratory
aptos2019,B0d,none,cwece_em,3,0.05143607616941806,0.051018092865222076,0.05192294111020235,0.0009048482449802719,탐색적/exploratory
aptos2019,B0d,none,cwece_db,3,0.08788635495288015,0.08706411387808828,0.08876045759525393,0.0016963437171656492,탐색적/exploratory
aptos2019,B0d,none,cwece_rms_em,3,0.08960278445241927,0.088762726164448,0.09040769072934703,0.001644964564899029,탐색적/exploratory
aptos2019,B0d,none,brier_multiclass,3,0.3244346860529745,0.31755549737480504,0.32918650592165155,0.01163100854684651,탐색적/exploratory
aptos2019,B0d,none,brier_balanced,3,0.6101821893257643,0.5963898174636937,0.6211960980073477,0.02480628054365397,탐색적/exploratory
aptos2019,B0d,none,brier_ovr_mean,3,0.0648869372105949,0.063511099474961,0.06583730118433032,0.0023262017093693133,탐색적/exploratory
aptos2019,B0d,none,nll,3,0.7941967544798203,0.7625483152010155,0.8100228306830541,0.047474515482038626,탐색적/exploratory
aptos2019,B0d,none,acc,3,0.7981066812306571,0.7949208083014746,0.801201529219006,0.006280720917531402,탐색적/exploratory
aptos2019,B0d,none,bacc,3,0.6281591349549295,0.6237121090977422,0.6328944609700888,0.009182351872346617,탐색적/exploratory
aptos2019,B0d,none,mean_conf,3,0.923241995421184,0.9226108942398913,0.9237018790787992,0.0010909848389079047,탐색적/exploratory
aptos2019,B0d,none,n_bins_eff_em,3,15.0,15.0,15.0,0.0,탐색적/exploratory
aptos2019,B0d,temp,n,3,3662.0,3662.0,3662.0,0.0,탐색적/exploratory
aptos2019,B0d,temp,n_classes,3,5.0,5.0,5.0,0.0,탐색적/exploratory
aptos2019,B0d,temp,argmax_pred_agree,3,1.0,1.0,1.0,0.0,탐색적/exploratory
aptos2019,B0d,temp,ece_top_ew,3,0.016404505410529235,0.013528349087399765,0.02066107923880454,0.007132730151404776,탐색적/exploratory
