family,dataset,base_arm,tau,fold,n_train,n_test,bacc,mcc,mae_sample,mae_class,recall_0,recall_1,recall_2,recall_3,recall_4,pi_0,pi_1,pi_2,pi_3,pi_4,recall_5,recall_6,pi_5,pi_6,exploratory
dinov2,aptos2019,B0d,1.0,5,2929,733,0.6273665532467354,0.6619291740910754,0.3165075034106412,0.4934077363722418,0.9667590027700831,0.6756756756756757,0.61,0.358974358974359,0.5254237288135594,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,6,2929,733,0.6526229899555408,0.7098239126640835,0.24283765347885403,0.41715358120691703,0.9778393351800554,0.527027027027027,0.73,0.3333333333333333,0.6949152542372882,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,6,2929,733,0.6649875083200592,0.7105119886079024,0.25102319236016374,0.41250734044203224,0.9778393351800554,0.5675675675675675,0.7,0.38461538461538464,0.6949152542372882,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,6,2929,733,0.6774802318127826,0.7050512302106567,0.2592087312414734,0.3989532335319931,0.9778393351800554,0.6081081081081081,0.645,0.46153846153846156,0.6949152542372882,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,7,2930,732,0.619692439563842,0.6826220772541653,0.2827868852459016,0.5047029552205851,0.9833795013850416,0.47297297297297297,0.705,0.39473684210526316,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,7,2930,732,0.616182449880276,0.6619325281283819,0.31693989071038253,0.5334966163872685,0.9750692520775623,0.5,0.65,0.4473684210526316,0.5084745762711864,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,7,2930,732,0.6158916660216252,0.6452897022789941,0.3401639344262295,0.5358184751726702,0.9667590027700831,0.5405405405405406,0.59,0.47368421052631576,0.5084745762711864,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,8,2930,732,0.6134048102753206,0.690473663254013,0.27049180327868855,0.5051474907462982,0.9833795013850416,0.5945945945945946,0.725,0.2894736842105263,0.4745762711864407,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,8,2930,732,0.6217450013514149,0.6825777729070654,0.27595628415300544,0.4890837915242818,0.9778393351800554,0.6216216216216216,0.685,0.3157894736842105,0.5084745762711864,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,8,2930,732,0.6325455426786946,0.6769166487497321,0.2773224043715847,0.4616469698488572,0.9750692520775623,0.6486486486486487,0.63,0.3157894736842105,0.5932203389830508,0.4928327645051195,0.10102389078498293,0.2726962457337884,0.052901023890784986,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,9,2930,732,0.6276639447903062,0.6994217363428318,0.273224043715847,0.4939576225979131,0.9833795013850416,0.5405405405405406,0.7386934673366834,0.3333333333333333,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,9,2930,732,0.6312654589445842,0.685898822929669,0.28825136612021857,0.49919204140017104,0.9833795013850416,0.5675675675675675,0.678391959798995,0.38461538461538464,0.5423728813559322,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,9,2930,732,0.6308307539779232,0.6641995304792504,0.31420765027322406,0.503704046464329,0.9750692520775623,0.5675675675675675,0.6080402010050251,0.41025641025641024,0.5932203389830508,0.4928327645051195,0.10102389078498293,0.27303754266211605,0.05255972696245734,0.08054607508532423,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.0,10,2929,733,0.6176578631599055,0.6902867682800495,0.286493860845839,0.5088174795474668,0.9778393351800554,0.4864864864864865,0.74,0.3076923076923077,0.576271186440678,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,0.5,10,2929,733,0.6242529319779426,0.6761962830290962,0.30286493860845837,0.49387915517752595,0.9722991689750693,0.5135135135135135,0.675,0.3333333333333333,0.6271186440677966,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
dinov2,aptos2019,B0d,1.0,10,2929,733,0.6404582451546159,0.67508966857249,0.32060027285129605,0.4842289495467579,0.961218836565097,0.581081081081081,0.64,0.358974358974359,0.6610169491525424,0.4930010242403551,0.101058381700239,0.2727893479003073,0.05257767156025948,0.0805735745988392,,,,,탐색적/exploratory
