dataset,arm,source,family,frontier_base,axis,fold,recall_target,bacc,frontier_bacc,gap,exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,5,0.2564102564102564,0.6054022942067921,0.6653011681969849,-0.05989887399019278,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,5,0.2564102564102564,0.6054022942067921,0.6562954730256012,-0.05089317881880906,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,5,0.2564102564102564,0.6054022942067921,0.6653011681969849,-0.05989887399019278,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,5,0.2564102564102564,0.6054022942067921,0.6285152393289395,-0.023112945122147344,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,5,0.2564102564102564,0.6054022942067921,0.6291185720639216,-0.023716277857129486,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,5,0.2564102564102564,0.6054022942067921,0.6291185720639216,-0.023716277857129486,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,6,0.3333333333333333,0.6526229899555408,0.7050952272883819,-0.05247223733284112,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,6,0.3333333333333333,0.6526229899555408,0.6932540427182429,-0.04063105276270207,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,6,0.3333333333333333,0.6526229899555408,0.7050952272883819,-0.05247223733284112,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,6,0.3333333333333333,0.6526229899555408,0.6806084369409877,-0.027985446985446916,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,6,0.3333333333333333,0.6526229899555408,0.6882535853488481,-0.03563059539330726,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,6,0.3333333333333333,0.6526229899555408,0.6882535853488481,-0.03563059539330726,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,7,0.39473684210526316,0.619692439563842,0.6942776110539385,-0.07458517149009647,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,7,0.39473684210526316,0.619692439563842,0.6831057288567031,-0.06341328929286105,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,7,0.39473684210526316,0.619692439563842,0.6942776110539385,-0.07458517149009647,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,7,0.39473684210526316,0.619692439563842,0.6276817310291183,-0.007989291465276271,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,7,0.39473684210526316,0.619692439563842,0.6300806331473499,-0.010388193583507843,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,7,0.39473684210526316,0.619692439563842,0.6300806331473499,-0.010388193583507843,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,8,0.2894736842105263,0.6134048102753206,0.6862618762713134,-0.07285706599599284,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,8,0.2894736842105263,0.6134048102753206,0.6645362122063844,-0.0511314019310638,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,8,0.2894736842105263,0.6134048102753206,0.6862618762713134,-0.07285706599599284,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,8,0.2894736842105263,0.6134048102753206,0.6708472495219291,-0.05744243924660852,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,8,0.2894736842105263,0.6134048102753206,0.6271942839595311,-0.013789473684210574,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,8,0.2894736842105263,0.6134048102753206,0.6708472495219291,-0.05744243924660852,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,9,0.3333333333333333,0.6276639447903062,0.6433563581463512,-0.015692413356044987,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,offset,9,0.3333333333333333,0.6276639447903062,0.6462859867786751,-0.01862204198836892,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,union,9,0.3333333333333333,0.6276639447903062,0.6462859867786751,-0.01862204198836892,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,tau,9,0.3333333333333333,0.6276639447903062,0.6396213488728979,-0.011957404082591716,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,offset,9,0.3333333333333333,0.6276639447903062,0.650085813976798,-0.022421869186491805,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,dinov2,B0d,union,9,0.3333333333333333,0.6276639447903062,0.650085813976798,-0.022421869186491805,탐색적/exploratory
aptos2019,B0d,w11_preds_dinov2,panderm,B0,tau,10,0.3076923076923077,0.6176578631599055,0.6878593824514291,-0.07020151929152363,탐색적/exploratory
