dataset,arm,wave,scope,n_folds,count_multiplicity,true_idx,true_class,pred_idx,pred_class,count,row_total,row_frac,row_frac_repeat_sd,row_frac_repeat_min,row_frac_repeat_max,row_frac_fold_sd,row_frac_fold_min,row_frac_fold_max,n_folds_used_for_fold_spread,note
aptos2019,B0,w1,repeat1,5,1,4,proliferative_dr,1,mild,17,295,0.0576271186440678,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,4,proliferative_dr,2,moderate,87,295,0.29491525423728815,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,4,proliferative_dr,3,severe,35,295,0.11864406779661017,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat1,5,1,4,proliferative_dr,4,proliferative_dr,153,295,0.5186440677966102,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,0,no_dr,0,no_dr,1773,1805,0.9822714681440443,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,0,no_dr,1,mild,26,1805,0.014404432132963989,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,0,no_dr,2,moderate,6,1805,0.0033240997229916896,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,0,no_dr,3,severe,0,1805,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,0,no_dr,4,proliferative_dr,0,1805,0.0,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,1,mild,0,no_dr,29,370,0.07837837837837838,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,1,mild,1,mild,230,370,0.6216216216216216,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,1,mild,2,moderate,100,370,0.2702702702702703,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,1,mild,3,severe,2,370,0.005405405405405406,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,1,mild,4,proliferative_dr,9,370,0.024324324324324326,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,2,moderate,0,no_dr,5,999,0.005005005005005005,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,2,moderate,1,mild,96,999,0.0960960960960961,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,2,moderate,2,moderate,789,999,0.7897897897897898,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,2,moderate,3,severe,47,999,0.04704704704704705,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,2,moderate,4,proliferative_dr,62,999,0.062062062062062065,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,3,severe,0,no_dr,1,193,0.0051813471502590676,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,3,severe,1,mild,2,193,0.010362694300518135,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,3,severe,2,moderate,82,193,0.42487046632124353,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,3,severe,3,severe,72,193,0.37305699481865284,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,3,severe,4,proliferative_dr,36,193,0.18652849740932642,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,4,proliferative_dr,0,no_dr,1,295,0.003389830508474576,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,4,proliferative_dr,1,mild,15,295,0.05084745762711865,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,4,proliferative_dr,2,moderate,86,295,0.29152542372881357,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,4,proliferative_dr,3,severe,49,295,0.16610169491525423,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,w1,repeat2,5,1,4,proliferative_dr,4,proliferative_dr,144,295,0.488135593220339,,,,,,,,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,0,no_dr,0,no_dr,5284,5415,0.9758079409048939,0.0008462743665661941,0.9750692520775623,0.9767313019390582,0.008274998886405009,0.96398891966759,0.9916897506925207,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,0,no_dr,1,mild,99,5415,0.018282548476454295,0.0011080332409972287,0.017174515235457065,0.019390581717451522,0.006176371354215013,0.00554016620498615,0.0332409972299169,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,0,no_dr,2,moderate,25,5415,0.0046168051708217915,0.0012794465799216086,0.003878116343490305,0.006094182825484765,0.00464311196591427,0.0,0.013850415512465374,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,0,no_dr,3,severe,1,5415,0.00018467220683287164,0.00031986164498040215,0.0,0.000554016620498615,0.0007152323815710836,0.0,0.002770083102493075,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,w1,folds_all,15,3,0,no_dr,4,proliferative_dr,6,5415,0.00110803324099723,0.0,0.00110803324099723,0.00110803324099723,0.00204096509034074,0.0,0.00554016620498615,15.0,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
