dataset,arm,config,fold,exploratory,bacc,per_class_recall,qwk,macro_mae,bacc_leakex,n_leaked,train_acc,a_ratio,pair_cos,row_cos,wnorm_ratio,wnorm_spearman
aptos2019,ordcost,"abs,lam=1.0,wce",6,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.692522050446507,"[0.9806094182825484, 0.7027027027027027, 0.665, 0.48717948717948717, 0.6271186440677966]",0.8857000798573174,0.2551159618008186,0.6820419984835593,36,0.9576647319904404,,0.9197119474411011,0.9082430005073547,,
aptos2019,B0,ce·wd1e-4,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6499067993294952,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]",0.8655301946439159,0.2581967213114754,0.6544588416011566,37,0.9665529010238908,,,,,
aptos2019,B1,wce·wd1e-4,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6726985888184067,"[0.9806094182825484, 0.6756756756756757, 0.68, 0.5526315789473685, 0.4745762711864407]",0.8646611546824556,0.27049180327868855,0.6696074817023583,37,0.9621160409556314,,,,,
aptos2019,affine,full,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6829210964098048,"[0.9833795013850416, 0.7567567567567568, 0.48, 0.7368421052631579, 0.4576271186440678]",0.8543117028304283,0.31420765027322406,0.6798225354657992,37,,1.51003098487854,0.9959353506565094,1.0,,
aptos2019,affine_offset,offset,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6846423636181371,"[0.9833795013850416, 0.7297297297297297, 0.525, 0.7105263157894737, 0.4745762711864407]",0.8526808532388319,0.3087431693989071,0.6747776271799042,37,,1.0,0.9999999642372132,1.0,,
aptos2019,affine_scale,scale,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6732588968140872,"[0.9861495844875346, 0.6756756756756757, 0.51, 0.7368421052631579, 0.4576271186440678]",0.8592531384077546,0.3073770491803279,0.6681120448179272,37,,1.3692924976348877,0.9981025695800781,1.0,,
aptos2019,affine_taunorm,tau=0.0,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6499067993294952,"[0.9833795013850416, 0.6081081081081081, 0.77, 0.4473684210526316, 0.4406779661016949]",0.8655301946439159,0.2581967213114754,0.6544588416011566,37,,,,,2.1601269245147705,-0.7
aptos2019,vs,"g=0.4,t=0.5",7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6461517645162888,"[0.961218836565097, 0.7567567567567568, 0.23, 0.8421052631578947, 0.4406779661016949]",0.832109763325763,0.4030054644808743,0.6427964217945242,37,0.7945392491467577,,0.9647887587547302,0.9721027612686157,,
aptos2019,vs_la_corner,"g=0,t=1",7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6851191123044731,"[0.9778393351800554, 0.7027027027027027, 0.605, 0.631578947368421, 0.5084745762711864]",0.8614866110447224,0.2855191256830601,0.6844476371193638,37,,,0.977832579612732,0.9766607284545898,,
aptos2019,wd_ce,wd=0.3,7,탐색적/exploratory (w13 · 판정 아님 / not a verdict),0.6483682827388165,"[0.9861495844875346, 0.5945945945945946, 0.79, 0.4473684210526316, 0.423728813559322]",0.8653633482173843,0.2540983606557377,0.6553036956718171,37,0.9593856655290103,,,0.997035026550293,,
