dataset,arm,fold,config,inner_mean,exploratory
oral_diseases,vs,9,"g=0.3,t=1.0",0.7326879469736612,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.3,t=1.5",0.7319169719169719,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.4,t=0.0",0.7345927088784232,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.4,t=0.5",0.7339577882435024,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.4,t=1.0",0.73001221001221,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,9,"g=0.4,t=1.5",0.7326312576312576,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.0,t=0.0",0.7046947496947497,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.0,t=0.5",0.705964590964591,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.0,t=1.0",0.7032888540031397,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.0,t=1.5",0.7051936159079016,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.1,t=0.0",0.7104090354090354,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.1,t=0.5",0.7096380603523461,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.1,t=1.0",0.7115428222571081,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.1,t=1.5",0.7156698063840922,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.2,t=0.0",0.7128126635269493,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.2,t=0.5",0.7156698063840922,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.2,t=1.0",0.7137650444793302,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.2,t=1.5",0.7190031397174255,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.3,t=0.0",0.7137650444793302,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.3,t=0.5",0.7190031397174255,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.3,t=1.0",0.7170983778126636,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.3,t=1.5",0.7170983778126636,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.4,t=0.0",0.7131527995813711,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.4,t=0.5",0.715057561486133,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.4,t=1.0",0.711248037676609,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
oral_diseases,vs,10,"g=0.4,t=1.5",0.7124385138670852,탐색적/exploratory (w13 · 판정 아님 / not a verdict)
