epoch,train_loss,train_acc,bacc,per_class_recall,arm,dataset,fold,n_train,n_test
150,0.1624922752380371,0.9522184300341296,0.6669178669725644,"[0.9806094182825484, 0.6351351351351351, 0.825, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,13,2930,732
175,0.14734968543052673,0.9587030716723549,0.668620569675267,"[0.9806094182825484, 0.6486486486486487, 0.82, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,13,2930,732
200,0.13440825045108795,0.9638225255972697,0.668620569675267,"[0.9806094182825484, 0.6486486486486487, 0.82, 0.3684210526315789, 0.5254237288135594]",B0,aptos2019,13,2930,732
25,0.426072895526886,0.8580204778156997,0.6562575627320687,"[0.9861495844875346, 0.5, 0.8090452261306532, 0.358974358974359, 0.6271186440677966]",B0,aptos2019,14,2930,732
50,0.28287407755851746,0.9010238907849829,0.6809183828362071,"[0.9861495844875346, 0.5135135135135135, 0.8592964824120602, 0.38461538461538464, 0.6610169491525424]",B0,aptos2019,14,2930,732
75,0.23143406212329865,0.9191126279863481,0.6851857233154064,"[0.9833795013850416, 0.5540540540540541, 0.8341708542713567, 0.41025641025641024, 0.6440677966101694]",B0,aptos2019,14,2930,732
100,0.19988609850406647,0.9337883959044369,0.681662853006354,"[0.9806094182825484, 0.5675675675675675, 0.8140703517587939, 0.4358974358974359, 0.6101694915254238]",B0,aptos2019,14,2930,732
125,0.17654791474342346,0.9433447098976109,0.6748831919894048,"[0.9806094182825484, 0.5675675675675675, 0.8140703517587939, 0.4358974358974359, 0.576271186440678]",B0,aptos2019,14,2930,732
150,0.1578671932220459,0.9501706484641638,0.6708630914868923,"[0.9806094182825484, 0.5675675675675675, 0.7939698492462312, 0.4358974358974359, 0.576271186440678]",B0,aptos2019,14,2930,732
175,0.14238399267196655,0.9593856655290103,0.6603350055989561,"[0.9806094182825484, 0.5675675675675675, 0.7839195979899497, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,14,2930,732
200,0.12927012145519257,0.9651877133105802,0.6603350055989561,"[0.9806094182825484, 0.5675675675675675, 0.7839195979899497, 0.41025641025641024, 0.559322033898305]",B0,aptos2019,14,2930,732
25,0.5261259078979492,0.8432912256742916,0.6915376407658675,"[0.9833795013850416, 0.6891891891891891, 0.56, 0.5641025641025641, 0.6610169491525424]",B1,aptos2019,0,2929,733
50,0.3813823163509369,0.8828951860703311,0.711937815624984,"[0.9806094182825484, 0.7567567567567568, 0.665, 0.5641025641025641, 0.5932203389830508]",B1,aptos2019,0,2929,733
75,0.31254270672798157,0.9037214066234209,0.6933989745450847,"[0.9778393351800554, 0.7702702702702703, 0.655, 0.5384615384615384, 0.5254237288135594]",B1,aptos2019,0,2929,733
100,0.26752907037734985,0.9153294639808809,0.6889889721494022,"[0.9833795013850416, 0.7702702702702703, 0.67, 0.5128205128205128, 0.5084745762711864]",B1,aptos2019,0,2929,733
125,0.23397746682167053,0.9293274155001707,0.6790499562103863,"[0.9833795013850416, 0.7162162162162162, 0.7, 0.48717948717948717, 0.5084745762711864]",B1,aptos2019,0,2929,733
150,0.20741014182567596,0.9405940594059405,0.6689623290562772,"[0.9806094182825484, 0.6891891891891891, 0.705, 0.46153846153846156, 0.5084745762711864]",B1,aptos2019,0,2929,733
175,0.1857747733592987,0.9484465687948105,0.6545572327176628,"[0.9833795013850416, 0.6756756756756757, 0.695, 0.41025641025641024, 0.5084745762711864]",B1,aptos2019,0,2929,733
200,0.16781334578990936,0.9569819050870604,0.653690343902936,"[0.9806094182825484, 0.6621621621621622, 0.69, 0.41025641025641024, 0.5254237288135594]",B1,aptos2019,0,2929,733
25,0.506576657295227,0.8391942642540116,0.688003855477258,"[0.9667590027700831, 0.7702702702702703, 0.58, 0.5128205128205128, 0.6101694915254238]",B1,aptos2019,1,2929,733
50,0.3710814416408539,0.8897234551041311,0.6597519519215842,"[0.96398891966759, 0.7432432432432432, 0.605, 0.41025641025641024, 0.576271186440678]",B1,aptos2019,1,2929,733
75,0.3026636242866516,0.9115739160122909,0.6429570250744954,"[0.9667590027700831, 0.7297297297297297, 0.6, 0.358974358974359, 0.559322033898305]",B1,aptos2019,1,2929,733
100,0.25820213556289673,0.9262546944349608,0.6388644918633181,"[0.9667590027700831, 0.7162162162162162, 0.61, 0.358974358974359, 0.5423728813559322]",B1,aptos2019,1,2929,733
125,0.22508645057678223,0.9368385114373506,0.6371617891606154,"[0.9667590027700831, 0.7027027027027027, 0.615, 0.358974358974359, 0.5423728813559322]",B1,aptos2019,1,2929,733
150,0.19894275069236755,0.9457152611812906,0.641900163780346,"[0.9667590027700831, 0.7027027027027027, 0.63, 0.38461538461538464, 0.5254237288135594]",B1,aptos2019,1,2929,733
175,0.17773622274398804,0.9552748378286104,0.6514181994170256,"[0.9667590027700831, 0.7027027027027027, 0.635, 0.41025641025641024, 0.5423728813559322]",B1,aptos2019,1,2929,733
200,0.1602024883031845,0.9603960396039604,0.6559923879247322,"[0.96398891966759, 0.7027027027027027, 0.635, 0.4358974358974359, 0.5423728813559322]",B1,aptos2019,1,2929,733
25,0.5397880673408508,0.837542662116041,0.699532520877138,"[0.9806094182825484, 0.7837837837837838, 0.595, 0.5789473684210527, 0.559322033898305]",B1,aptos2019,2,2930,732
50,0.3847911059856415,0.8887372013651877,0.6844280089282202,"[0.9722991689750693, 0.7837837837837838, 0.65, 0.47368421052631576, 0.5423728813559322]",B1,aptos2019,2,2930,732
75,0.31560981273651123,0.9085324232081912,0.6777957511011176,"[0.9806094182825484, 0.7297297297297297, 0.655, 0.4473684210526316, 0.576271186440678]",B1,aptos2019,2,2930,732
100,0.2704062759876251,0.9208191126279863,0.6603255881826706,"[0.9778393351800554, 0.7297297297297297, 0.64, 0.39473684210526316, 0.559322033898305]",B1,aptos2019,2,2930,732
125,0.23625405132770538,0.9337883959044369,0.6702758738831793,"[0.9778393351800554, 0.7162162162162162, 0.66, 0.42105263157894735, 0.576271186440678]",B1,aptos2019,2,2930,732
150,0.20928622782230377,0.9440273037542662,0.6815048923753558,"[0.9778393351800554, 0.7297297297297297, 0.65, 0.47368421052631576, 0.576271186440678]",B1,aptos2019,2,2930,732
175,0.187411829829216,0.9525597269624574,0.6765390317779161,"[0.9778393351800554, 0.7162162162162162, 0.665, 0.4473684210526316, 0.576271186440678]",B1,aptos2019,2,2930,732
200,0.16930878162384033,0.9583617747440273,0.6721492012694416,"[0.9778393351800554, 0.7162162162162162, 0.66, 0.4473684210526316, 0.559322033898305]",B1,aptos2019,2,2930,732
25,0.5164675116539001,0.8436860068259385,0.6913997764138147,"[0.9722991689750693, 0.7162162162162162, 0.57, 0.6052631578947368, 0.5932203389830508]",B1,aptos2019,3,2930,732
50,0.372374951839447,0.8890784982935154,0.6915056435843326,"[0.9695290858725761, 0.7297297297297297, 0.62, 0.5789473684210527, 0.559322033898305]",B1,aptos2019,3,2930,732
