dataset,arm,mode,fold,bacc,per_class_recall,n_train,n_test,exploratory
aptos2019,B1,scale,10,0.6888922567267091,"[0.9916897506925207, 0.7567567567567568, 0.53, 0.5897435897435898, 0.576271186440678]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,11,0.6170272611290969,"[0.96398891966759, 0.6621621621621622, 0.625, 0.41025641025641024, 0.423728813559322]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,11,0.6169204839701576,"[0.9667590027700831, 0.7432432432432432, 0.455, 0.5128205128205128, 0.4067796610169492]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,11,0.6061552320576219,"[0.9556786703601108, 0.6891891891891891, 0.475, 0.48717948717948717, 0.423728813559322]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,11,0.6129003120829498,"[0.9722991689750693, 0.7432432432432432, 0.455, 0.48717948717948717, 0.4067796610169492]",2929,733,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,12,0.633974861146888,"[0.9833795013850416, 0.7432432432432432, 0.685, 0.3684210526315789, 0.3898305084745763]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,12,0.6271454135012049,"[0.9833795013850416, 0.7837837837837838, 0.46, 0.5526315789473685, 0.3559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,offset,12,0.6420673220288226,"[0.9833795013850416, 0.8108108108108109, 0.5, 0.5263157894736842, 0.3898305084745763]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,scale,12,0.6353524185249149,"[0.9861495844875346, 0.7837837837837838, 0.455, 0.5789473684210527, 0.3728813559322034]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,none,13,0.6739827742198277,"[0.9722991689750693, 0.6891891891891891, 0.745, 0.42105263157894735, 0.5423728813559322]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
aptos2019,B1,full,13,0.6797152714947916,"[0.9833795013850416, 0.7432432432432432, 0.56, 0.5526315789473685, 0.559322033898305]",2930,732,탐색적/exploratory (w17_afl · 판정 아님 / not a verdict)
