dataset,arm,fold,variant,n,sample_mae,classmean_mae
aptos2019,B3,2,conflict_excluded,686,0.2755102040816326,0.4066969718922051
aptos2019,B3,3,full,732,0.29508196721311475,0.4094848127624314
aptos2019,B3,3,leakfree,696,0.29310344827586204,0.42082455761629933
aptos2019,B3,3,conflict_excluded,690,0.2898550724637681,0.41522754415419066
aptos2019,B3,4,full,732,0.2814207650273224,0.43544467472308945
aptos2019,B3,4,leakfree,689,0.26995645863570394,0.4348436838649234
aptos2019,B3,4,conflict_excluded,685,0.2671532846715328,0.4292806490443496
aptos2019,B3,5,full,733,0.28512960436562074,0.4172928017241365
aptos2019,B3,5,leakfree,698,0.27793696275071633,0.4207793784842965
aptos2019,B3,5,conflict_excluded,695,0.2762589928057554,0.414071114071114
aptos2019,B3,6,full,733,0.2592087312414734,0.35714835586651167
aptos2019,B3,6,leakfree,697,0.2582496413199426,0.3650805169952882
aptos2019,B3,6,conflict_excluded,695,0.25611510791366904,0.35971363137215606
aptos2019,B3,7,full,732,0.2923497267759563,0.4391033267644845
aptos2019,B3,7,leakfree,695,0.2805755395683453,0.44364290232221915
aptos2019,B3,7,conflict_excluded,695,0.2805755395683453,0.44364290232221915
aptos2019,B3,8,full,732,0.27595628415300544,0.38376191116700065
aptos2019,B3,8,leakfree,685,0.2656934306569343,0.38488487314244163
aptos2019,B3,8,conflict_excluded,683,0.26500732064421667,0.3857884570736433
aptos2019,B3,9,full,732,0.31420765027322406,0.484696552251308
aptos2019,B3,9,leakfree,691,0.3053545586107091,0.48432751319660594
aptos2019,B3,9,conflict_excluded,689,0.3033381712626996,0.4831820951301381
aptos2019,B3,10,full,733,0.27012278308321963,0.3836875214356317
aptos2019,B3,10,leakfree,688,0.26453488372093026,0.3947484859865734
aptos2019,B3,10,conflict_excluded,688,0.26453488372093026,0.3947484859865734
aptos2019,B3,11,full,733,0.31105047748976805,0.44713589512904034
aptos2019,B3,11,leakfree,699,0.3104434907010014,0.459974664974665
aptos2019,B3,11,conflict_excluded,697,0.3098995695839311,0.4605430100733968
aptos2019,B3,12,full,732,0.3087431693989071,0.44840790393661417
aptos2019,B3,12,leakfree,693,0.2987012987012987,0.4508002983283882
aptos2019,B3,12,conflict_excluded,689,0.2960812772133527,0.4485441183554391
aptos2019,B3,13,full,732,0.26366120218579236,0.40432721495616464
aptos2019,B3,13,leakfree,688,0.25726744186046513,0.42389540543686965
aptos2019,B3,13,conflict_excluded,684,0.25292397660818716,0.41476001332328466
aptos2019,B3,14,full,732,0.25546448087431695,0.4039660770196164
aptos2019,B3,14,leakfree,689,0.2467343976777939,0.4019026135823561
aptos2019,B3,14,conflict_excluded,687,0.2445414847161572,0.4022360216359468
aptos2019,B3d,0,full,733,0.33424283765347884,0.4313832553150361
aptos2019,B3d,0,leakfree,694,0.33285302593659943,0.44702104643661383
aptos2019,B3d,0,conflict_excluded,692,0.33236994219653176,0.44615375612426245
