dataset,rep,space,fold,i,j,i_name,j_name,cdnv,exploratory
aptos2019,frozen,train_std,12,0,3,no_dr,severe,1.0887078136490744,탐색적/exploratory
aptos2019,frozen,train_std,12,0,4,no_dr,proliferative,1.1797918821714486,탐색적/exploratory
aptos2019,frozen,train_std,12,1,2,mild,moderate,4.948095620970805,탐색적/exploratory
aptos2019,frozen,train_std,12,1,3,mild,severe,2.342867424445239,탐색적/exploratory
aptos2019,frozen,train_std,12,1,4,mild,proliferative,2.6249364093057714,탐색적/exploratory
aptos2019,frozen,train_std,12,2,3,moderate,severe,11.307985155967845,탐색적/exploratory
aptos2019,frozen,train_std,12,2,4,moderate,proliferative,11.151014082548551,탐색적/exploratory
aptos2019,frozen,train_std,12,3,4,severe,proliferative,13.335885484472193,탐색적/exploratory
aptos2019,frozen,raw,12,0,1,no_dr,mild,0.9958333283892865,탐색적/exploratory
aptos2019,frozen,raw,12,0,2,no_dr,moderate,1.1684559791909719,탐색적/exploratory
aptos2019,frozen,raw,12,0,3,no_dr,severe,0.8687842950842622,탐색적/exploratory
aptos2019,frozen,raw,12,0,4,no_dr,proliferative,0.9018752617355915,탐색적/exploratory
aptos2019,frozen,raw,12,1,2,mild,moderate,4.843332134978093,탐색적/exploratory
aptos2019,frozen,raw,12,1,3,mild,severe,2.3386299705870637,탐색적/exploratory
aptos2019,frozen,raw,12,1,4,mild,proliferative,2.3895134557380775,탐색적/exploratory
aptos2019,frozen,raw,12,2,3,moderate,severe,12.283056389186203,탐색적/exploratory
aptos2019,frozen,raw,12,2,4,moderate,proliferative,9.583118052730207,탐색적/exploratory
aptos2019,frozen,raw,12,3,4,severe,proliferative,13.504338983134302,탐색적/exploratory
aptos2019,frozen,train_std,13,0,1,no_dr,mild,1.308205950404681,탐색적/exploratory
aptos2019,frozen,train_std,13,0,2,no_dr,moderate,1.469813317438353,탐색적/exploratory
aptos2019,frozen,train_std,13,0,3,no_dr,severe,1.0391083429141044,탐색적/exploratory
aptos2019,frozen,train_std,13,0,4,no_dr,proliferative,1.209531573312694,탐색적/exploratory
aptos2019,frozen,train_std,13,1,2,mild,moderate,5.623781785163898,탐색적/exploratory
aptos2019,frozen,train_std,13,1,3,mild,severe,3.5066212049641554,탐색적/exploratory
aptos2019,frozen,train_std,13,1,4,mild,proliferative,3.683095421749902,탐색적/exploratory
aptos2019,frozen,train_std,13,2,3,moderate,severe,10.279413314757237,탐색적/exploratory
aptos2019,frozen,train_std,13,2,4,moderate,proliferative,11.381638152538768,탐색적/exploratory
aptos2019,frozen,train_std,13,3,4,severe,proliferative,14.951260690605618,탐색적/exploratory
aptos2019,frozen,raw,13,0,1,no_dr,mild,1.0164903512949524,탐색적/exploratory
aptos2019,frozen,raw,13,0,2,no_dr,moderate,1.1647707461004018,탐색적/exploratory
aptos2019,frozen,raw,13,0,3,no_dr,severe,0.8153299268799183,탐색적/exploratory
aptos2019,frozen,raw,13,0,4,no_dr,proliferative,0.9335203150826806,탐색적/exploratory
aptos2019,frozen,raw,13,1,2,mild,moderate,5.646881505354147,탐색적/exploratory
aptos2019,frozen,raw,13,1,3,mild,severe,3.4798780415961494,탐색적/exploratory
aptos2019,frozen,raw,13,1,4,mild,proliferative,3.471226526982106,탐색적/exploratory
aptos2019,frozen,raw,13,2,3,moderate,severe,10.519030852251785,탐색적/exploratory
aptos2019,frozen,raw,13,2,4,moderate,proliferative,10.844519701864453,탐색적/exploratory
aptos2019,frozen,raw,13,3,4,severe,proliferative,16.692162915083095,탐색적/exploratory
aptos2019,frozen,train_std,14,0,1,no_dr,mild,1.282622789048374,탐색적/exploratory
aptos2019,frozen,train_std,14,0,2,no_dr,moderate,1.491218354946966,탐색적/exploratory
aptos2019,frozen,train_std,14,0,3,no_dr,severe,0.9045639405453464,탐색적/exploratory
aptos2019,frozen,train_std,14,0,4,no_dr,proliferative,1.199902059036242,탐색적/exploratory
aptos2019,frozen,train_std,14,1,2,mild,moderate,5.522704482388996,탐색적/exploratory
aptos2019,frozen,train_std,14,1,3,mild,severe,2.3530553119243858,탐색적/exploratory
aptos2019,frozen,train_std,14,1,4,mild,proliferative,4.439229695087703,탐색적/exploratory
aptos2019,frozen,train_std,14,2,3,moderate,severe,6.945511479208329,탐색적/exploratory
aptos2019,frozen,train_std,14,2,4,moderate,proliferative,14.394505874353007,탐색적/exploratory
aptos2019,frozen,train_std,14,3,4,severe,proliferative,7.069455939175407,탐색적/exploratory
aptos2019,frozen,raw,14,0,1,no_dr,mild,0.9968024860733351,탐색적/exploratory
aptos2019,frozen,raw,14,0,2,no_dr,moderate,1.1844064835618866,탐색적/exploratory
aptos2019,frozen,raw,14,0,3,no_dr,severe,0.7072081455209468,탐색적/exploratory
aptos2019,frozen,raw,14,0,4,no_dr,proliferative,0.9568329676651662,탐색적/exploratory
aptos2019,frozen,raw,14,1,2,mild,moderate,5.458896201410534,탐색적/exploratory
aptos2019,frozen,raw,14,1,3,mild,severe,2.30239796063681,탐색적/exploratory
aptos2019,frozen,raw,14,1,4,mild,proliferative,4.537701302026728,탐색적/exploratory
aptos2019,frozen,raw,14,2,3,moderate,severe,6.3750725132190285,탐색적/exploratory
aptos2019,frozen,raw,14,2,4,moderate,proliferative,15.40940548708431,탐색적/exploratory
aptos2019,frozen,raw,14,3,4,severe,proliferative,7.111583049617758,탐색적/exploratory
