dataset,arm,base,scope,fold,n_test,n_boot,bacc_point,bacc_boot_lo,bacc_boot_hi,delta_point,delta_boot_lo,delta_boot_hi,cv_delta,cv_ci_lo,cv_ci_hi,cv_se_nb,cv_ttest_p_nb,cv_mde_post,mde_floor,note
aptos2019,B5,B0,fold6,6.0,733,2000,0.6478956526871453,0.6061087712086738,0.6909219586104154,-0.02021015835744222,-0.05642178121954207,0.015056867003440737,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B5s,B0,fold6,6.0,733,2000,0.6673060530075412,0.6231348338723183,0.711998670399189,-0.0007997580370463497,-0.03078575879335401,0.028958574309945112,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0d,,fold6,6.0,733,2000,0.6526229899555408,0.6065254562348127,0.6996360251307487,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1d,B0d,fold6,6.0,733,2000,0.6464898787702675,0.5994822499155998,0.693652317225933,-0.006133111185273266,-0.030646832883357938,0.020973495543003064,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3d,B0d,fold6,6.0,733,2000,0.6297206235984583,0.5806401973962784,0.6775497078895568,-0.022902366357082538,-0.06530622176825995,0.020938005745410836,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B4d,B0d,fold6,6.0,733,2000,0.6416541397494024,0.5930500531941653,0.6886875741183757,-0.010968850206138359,-0.04454411625862124,0.022192572355270373,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B0,,fold7,7.0,732,2000,0.6499067993294952,0.602796535268426,0.6973355390131474,,,,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B1,B0,fold7,7.0,732,2000,0.6726985888184067,0.6246627272665501,0.7199111482501029,0.022791789488911474,-0.006056226193904832,0.05461049363017086,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B2,B0,fold7,7.0,732,2000,0.6539629522005221,0.6065491396188736,0.700935016721487,0.004056152871026897,-0.03377973243594178,0.038442607223987624,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
aptos2019,B3,B0,fold7,7.0,732,2000,0.6610944911764669,0.6118137140572071,0.7065769475698471,0.011187691846971659,-0.033272750526666554,0.057689600735902846,,,,,,,0.019,탐색적 · exploratory (w11 · 판정 아님 / not a verdict)
