bacc,mcc,macro_mae,per_class_recall,arm,dataset,fold,seed,backbone,n_train,n_test
0.6941105717598981,0.7442504986913092,0.208731241473397,"[0.9889196675900277, 0.5675675675675675, 0.765, 0.5897435897435898, 0.559322033898305]",B3n,aptos2019,0,3,panderm,2929,733
0.6697518021873625,0.720153164652244,0.2373806275579809,"[0.9750692520775623, 0.6621621621621622, 0.725, 0.41025641025641024, 0.576271186440678]",B3n,aptos2019,1,3,panderm,2929,733
0.6830896743026891,0.7341570876046289,0.21994535519125682,"[0.9778393351800554, 0.7027027027027027, 0.73, 0.39473684210526316, 0.6101694915254238]",B3n,aptos2019,2,3,panderm,2930,732
0.6861400649440463,0.7298076563533348,0.23087431693989072,"[0.9750692520775623, 0.6756756756756757, 0.73, 0.47368421052631576, 0.576271186440678]",B3n,aptos2019,3,3,panderm,2930,732
0.6450688626156793,0.7079068426069937,0.24043715846994534,"[0.9861495844875346, 0.4594594594594595, 0.7336683417085427, 0.4358974358974359, 0.6101694915254238]",B3n,aptos2019,4,3,panderm,2930,732
0.657213210729573,0.7149531140768594,0.2305593451568895,"[0.9833795013850416, 0.6081081081081081, 0.725, 0.41025641025641024, 0.559322033898305]",B3n,aptos2019,5,3,panderm,2929,733
0.6756852300985827,0.7344739001167833,0.21964529331514324,"[0.9861495844875346, 0.5540540540540541, 0.75, 0.41025641025641024, 0.6779661016949152]",B3n,aptos2019,6,3,panderm,2929,733
0.6864012166539986,0.7443497045478771,0.2185792349726776,"[0.9861495844875346, 0.6486486486486487, 0.77, 0.5526315789473685, 0.4745762711864407]",B3n,aptos2019,7,3,panderm,2930,732
0.6831387820516888,0.7333824921545962,0.2226775956284153,"[0.9861495844875346, 0.6081081081081081, 0.73, 0.4473684210526316, 0.6440677966101694]",B3n,aptos2019,8,3,panderm,2930,732
0.6255047653540894,0.6864294813096886,0.2609289617486339,"[0.9750692520775623, 0.5540540540540541, 0.7135678391959799, 0.41025641025641024, 0.4745762711864407]",B3n,aptos2019,9,3,panderm,2930,732
0.6862502994928461,0.7494727316815848,0.20327421555252387,"[0.9889196675900277, 0.6486486486486487, 0.765, 0.38461538461538464, 0.6440677966101694]",B3n,aptos2019,10,3,panderm,2929,733
0.6867724468663948,0.7245875918046545,0.23192360163710776,"[0.9806094182825484, 0.6756756756756757, 0.705, 0.5641025641025641, 0.5084745762711864]",B3n,aptos2019,11,3,panderm,2929,733
0.6616930486522017,0.7104984895520952,0.24180327868852458,"[0.9695290858725761, 0.6756756756756757, 0.715, 0.47368421052631576, 0.4745762711864407]",B3n,aptos2019,12,3,panderm,2930,732
0.6552579831815477,0.7129701078426737,0.2336065573770492,"[0.9806094182825484, 0.6216216216216216, 0.72, 0.39473684210526316, 0.559322033898305]",B3n,aptos2019,13,3,panderm,2930,732
0.6546901747154856,0.7193046306615118,0.23087431693989072,"[0.9861495844875346, 0.5405405405405406, 0.7437185929648241, 0.358974358974359, 0.6440677966101694]",B3n,aptos2019,14,3,panderm,2930,732
0.6544077633452253,0.7333590116500067,0.23192360163710776,"[0.9889196675900277, 0.5945945945945946, 0.795, 0.4358974358974359, 0.4576271186440678]",B4n,aptos2019,0,3,panderm,2929,733
0.6438286547896388,0.7279538283783559,0.23328785811732605,"[0.9750692520775623, 0.6891891891891891, 0.79, 0.2564102564102564, 0.5084745762711864]",B4n,aptos2019,1,3,panderm,2929,733
0.6297113187651242,0.7204977107149371,0.24453551912568305,"[0.9806094182825484, 0.6621621621621622, 0.785, 0.2631578947368421, 0.4576271186440678]",B4n,aptos2019,2,3,panderm,2930,732
0.6883979174253836,0.7436255653523284,0.22540983606557377,"[0.9778393351800554, 0.6756756756756757, 0.78, 0.5, 0.5084745762711864]",B4n,aptos2019,3,3,panderm,2930,732
0.6214110903334287,0.707694539722392,0.25136612021857924,"[0.9861495844875346, 0.4864864864864865, 0.7839195979899497, 0.358974358974359, 0.4915254237288136]",B4n,aptos2019,4,3,panderm,2930,732
0.6018281056990855,0.6913148990305378,0.2660300136425648,"[0.9861495844875346, 0.5945945945945946, 0.74, 0.23076923076923078, 0.4576271186440678]",B4n,aptos2019,5,3,panderm,2929,733
0.6932800478628921,0.7550582116268646,0.208731241473397,"[0.9861495844875346, 0.6081081081081081, 0.8, 0.5128205128205128, 0.559322033898305]",B4n,aptos2019,6,3,panderm,2929,733
0.6444647217291004,0.723798665615973,0.25,"[0.9861495844875346, 0.6891891891891891, 0.77, 0.42105263157894735, 0.3559322033898305]",B4n,aptos2019,7,3,panderm,2930,732
0.6340767476711886,0.7083057183505369,0.25136612021857924,"[0.9861495844875346, 0.6351351351351351, 0.74, 0.3684210526315789, 0.4406779661016949]",B4n,aptos2019,8,3,panderm,2930,732
0.5815078801682084,0.6875932133037946,0.2827868852459016,"[0.9750692520775623, 0.527027027027027, 0.7939698492462312, 0.15384615384615385, 0.4576271186440678]",B4n,aptos2019,9,3,panderm,2930,732
0.6608745521679462,0.7348149298238141,0.23465211459754434,"[0.9889196675900277, 0.581081081081081, 0.79, 0.4358974358974359, 0.5084745762711864]",B4n,aptos2019,10,3,panderm,2929,733
0.6052580289282482,0.6937018968509044,0.26330150068212826,"[0.9806094182825484, 0.6216216216216216, 0.76, 0.358974358974359, 0.3050847457627119]",B4n,aptos2019,11,3,panderm,2929,733
0.6435208746001272,0.7251573288570397,0.2459016393442623,"[0.9833795013850416, 0.6891891891891891, 0.785, 0.42105263157894735, 0.3389830508474576]",B4n,aptos2019,12,3,panderm,2930,732
0.6470953870439292,0.7362283230455957,0.226775956284153,"[0.9806094182825484, 0.6351351351351351, 0.82, 0.34210526315789475, 0.4576271186440678]",B4n,aptos2019,13,3,panderm,2930,732
0.6491141958748785,0.7318917491617593,0.23224043715846995,"[0.9861495844875346, 0.5540540540540541, 0.8040201005025126, 0.358974358974359, 0.5423728813559322]",B4n,aptos2019,14,3,panderm,2930,732
0.6702285287811603,0.6535532023875541,0.5576923076923077,"[0.9375, 1.0, 0.5, 0.6111111111111112, 0.36363636363636365, 0.8947368421052632, 0.38461538461538464]",A3n,oral_diseases,0,4,panderm,412,104
0.7557368800789853,0.6895139346222519,0.4854368932038835,"[0.9375, 0.9333333333333333, 0.8333333333333334, 0.6111111111111112, 0.9090909090909091, 0.3157894736842105, 0.75]",A3n,oral_diseases,1,4,panderm,413,103
0.7061735778841042,0.6593978304184193,0.5048543689320388,"[0.9375, 1.0, 0.6666666666666666, 0.5555555555555556, 0.45454545454545453, 0.5789473684210527, 0.75]",A3n,oral_diseases,2,4,panderm,413,103
0.7076368076368077,0.6487292976094577,0.42718446601941745,"[0.8666666666666667, 0.9333333333333333, 0.6153846153846154, 0.5, 0.6363636363636364, 0.5555555555555556, 0.8461538461538461]",A3n,oral_diseases,3,4,panderm,413,103
0.7694974616027247,0.7266386360610224,0.5145631067961165,"[0.75, 1.0, 0.6666666666666666, 0.6111111111111112, 0.8, 0.7894736842105263, 0.7692307692307693]",A3n,oral_diseases,4,4,panderm,413,103
0.7482827114406062,0.707736368579051,0.41346153846153844,"[1.0, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.7272727272727273, 0.6842105263157895, 0.6153846153846154]",A3n,oral_diseases,5,4,panderm,412,104
0.7098836105415053,0.6698807304591078,0.5631067961165048,"[0.9375, 0.9333333333333333, 0.5, 0.6111111111111112, 0.6363636363636364, 0.6842105263157895, 0.6666666666666666]",A3n,oral_diseases,6,4,panderm,413,103
0.7044391281233386,0.6475146724058031,0.5631067961165048,"[0.75, 0.9333333333333333, 0.5833333333333334, 0.5555555555555556, 0.7272727272727273, 0.631578947368421, 0.75]",A3n,oral_diseases,7,4,panderm,413,103
0.7685314685314684,0.7201771089805175,0.5242718446601942,"[0.9333333333333333, 1.0, 0.6153846153846154, 0.6666666666666666, 0.8181818181818182, 0.5, 0.8461538461538461]",A3n,oral_diseases,8,4,panderm,413,103
0.6772082449714029,0.6141672218822009,0.6019417475728155,"[0.8125, 1.0, 0.5833333333333334, 0.5555555555555556, 0.7, 0.47368421052631576, 0.6153846153846154]",A3n,oral_diseases,9,4,panderm,413,103
0.6896053507895613,0.6402946580121339,0.5769230769230769,"[0.9375, 1.0, 0.5833333333333334, 0.5, 0.6363636363636364, 0.631578947368421, 0.5384615384615384]",A3n,oral_diseases,10,4,panderm,412,104
0.6788135110503531,0.6372800579908162,0.6213592233009708,"[0.9375, 1.0, 0.6666666666666666, 0.6666666666666666, 0.45454545454545453, 0.5263157894736842, 0.5]",A3n,oral_diseases,11,4,panderm,413,103
0.7314023695602643,0.6828114310861191,0.44660194174757284,"[0.875, 1.0, 0.8333333333333334, 0.5, 0.7272727272727273, 0.6842105263157895, 0.5]",A3n,oral_diseases,12,4,panderm,413,103
0.7022533022533023,0.6716057818737183,0.5825242718446602,"[0.8, 1.0, 0.7692307692307693, 0.7222222222222222, 0.36363636363636365, 0.7222222222222222, 0.5384615384615384]",A3n,oral_diseases,13,4,panderm,413,103
0.7710670908039329,0.7170110583989491,0.47572815533980584,"[0.875, 1.0, 0.5833333333333334, 0.6666666666666666, 0.9, 0.5263157894736842, 0.8461538461538461]",A3n,oral_diseases,14,4,panderm,413,103
0.6901489592279066,0.6641819837039813,0.5769230769230769,"[0.9375, 0.9333333333333333, 0.5, 0.6111111111111112, 0.5454545454545454, 0.8421052631578947, 0.46153846153846156]",A4n,oral_diseases,0,4,panderm,412,104
0.7713488266119846,0.7098916384556028,0.46601941747572817,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5, 0.9090909090909091, 0.47368421052631576, 0.75]",A4n,oral_diseases,1,4,panderm,413,103
0.7178410040252146,0.6695873547195108,0.5436893203883495,"[0.8125, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.631578947368421, 0.6666666666666666]",A4n,oral_diseases,2,4,panderm,413,103
0.7584748584748586,0.7070127389684355,0.4077669902912621,"[0.8666666666666667, 0.9333333333333333, 0.6923076923076923, 0.5, 0.7272727272727273, 0.6666666666666666, 0.9230769230769231]",A4n,oral_diseases,3,4,panderm,413,103
0.7301105327421116,0.6923079644798812,0.5242718446601942,"[0.75, 1.0, 0.6666666666666666, 0.6111111111111112, 0.5, 0.7368421052631579, 0.8461538461538461]",A4n,oral_diseases,4,4,panderm,413,103
0.7662063083115714,0.7299006638185546,0.3557692307692308,"[1.0, 0.9333333333333333, 0.8333333333333334, 0.5555555555555556, 0.6363636363636364, 0.7894736842105263, 0.6153846153846154]",A4n,oral_diseases,5,4,panderm,412,104
0.7455978962557911,0.7045731758473405,0.46601941747572817,"[0.9375, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.6363636363636364, 0.6842105263157895, 0.75]",A4n,oral_diseases,6,4,panderm,413,103
0.7240639477481583,0.6722966567278422,0.44660194174757284,"[0.75, 1.0, 0.5833333333333334, 0.6111111111111112, 0.9090909090909091, 0.631578947368421, 0.5833333333333334]",A4n,oral_diseases,7,4,panderm,413,103
0.7984459984459985,0.7537849900377552,0.46601941747572817,"[0.9333333333333333, 1.0, 0.6923076923076923, 0.6666666666666666, 0.8181818181818182, 0.5555555555555556, 0.9230769230769231]",A4n,oral_diseases,8,4,panderm,413,103
0.7287079879185142,0.6815364847830679,0.4368932038834951,"[0.875, 1.0, 0.6666666666666666, 0.6111111111111112, 0.6, 0.5789473684210527, 0.7692307692307693]",A4n,oral_diseases,9,4,panderm,413,103
0.7929143225195857,0.7540699114042942,0.33653846153846156,"[0.9375, 1.0, 0.75, 0.5, 0.7272727272727273, 0.7894736842105263, 0.8461538461538461]",A4n,oral_diseases,10,4,panderm,412,104
0.6697976000607578,0.6160399586978288,0.6601941747572816,"[0.875, 0.9333333333333333, 0.6666666666666666, 0.6111111111111112, 0.5454545454545454, 0.47368421052631576, 0.5833333333333334]",A4n,oral_diseases,11,4,panderm,413,103
0.7725848712690818,0.7171595900480778,0.39805825242718446,"[0.875, 1.0, 0.8333333333333334, 0.5, 0.8181818181818182, 0.631578947368421, 0.75]",A4n,oral_diseases,12,4,panderm,413,103
0.7138195138195138,0.6711143156706215,0.5631067961165048,"[0.8, 0.9333333333333333, 0.7692307692307693, 0.6666666666666666, 0.5454545454545454, 0.6666666666666666, 0.6153846153846154]",A4n,oral_diseases,13,4,panderm,413,103
0.7790076151918257,0.7270713514699054,0.42718446601941745,"[0.8125, 1.0, 0.75, 0.6666666666666666, 0.9, 0.631578947368421, 0.6923076923076923]",A4n,oral_diseases,14,4,panderm,413,103
0.6865568642061903,0.7418340158589839,0.2100954979536153,"[0.9889196675900277, 0.581081081081081, 0.765, 0.5384615384615384, 0.559322033898305]",B3n,aptos2019,0,4,panderm,2929,733
0.6743983520190383,0.7225398424278779,0.23465211459754434,"[0.9778393351800554, 0.6756756756756757, 0.715, 0.41025641025641024, 0.5932203389830508]",B3n,aptos2019,1,4,panderm,2929,733
0.6716073105830371,0.7243727638514814,0.226775956284153,"[0.9778393351800554, 0.6891891891891891, 0.72, 0.39473684210526316, 0.576271186440678]",B3n,aptos2019,2,4,panderm,2930,732
0.681047531732869,0.7276904301942847,0.23087431693989072,"[0.9750692520775623, 0.6621621621621622, 0.735, 0.47368421052631576, 0.559322033898305]",B3n,aptos2019,3,4,panderm,2930,732
0.6285457983709559,0.6888672735250804,0.2540983606557377,"[0.9861495844875346, 0.4189189189189189, 0.7085427135678392, 0.4358974358974359, 0.5932203389830508]",B3n,aptos2019,4,4,panderm,2930,732
