cell,comparison,n_folds,mean_diff,sd,se_nb,mde_80
hk_u_N500_IR1p74,L17 - L23,15,0.007893145018837725,0.03599635639885112,0.020256281250461992,0.06102896416872758
hk_u_N500_IR1p74,L18 - L23,15,0.01426967743703677,0.04283248785499669,0.024103187306910377,0.07261908226476729
hk_u_N500_IR1p74,L19 - L23,15,0.011679191498564919,0.04004739803706687,0.022535929720206824,0.06789718361419854
hk_u_N500_IR1p74,L20 - L23,15,0.030063314992449696,0.035725398582989676,0.020103804770223693,0.06056957670594614
hk_u_N500_IR1p74,L21 - L23,15,0.016093963936035533,0.022875013419519672,0.012872489101387823,0.038782768980017805
hk_u_N500_IR1p74,L22 - L23,15,0.01478960513886985,0.02767576843921347,0.015574024857284175,0.04692206793665007
hk_u_N500_IR4,L0 - L23,15,-0.12930012072168937,0.08394685760942339,0.04723953555152705,0.14232523170834843
hk_u_N500_IR4,L1 - L23,15,-0.11028598308010076,0.07591916959781096,0.04272210316608225,0.1287149240819339
hk_u_N500_IR4,L2 - L23,15,-0.08380584557055147,0.06999108686333595,0.03938618466880439,0.11866433049454864
hk_u_N500_IR4,L3 - L23,15,-0.031143955898857878,0.07466048501852734,0.04201380178799049,0.12658092431713322
hk_u_N500_IR4,L4 - L23,15,-0.0500239321317753,0.06021217158617146,0.03388328165318124,0.10208495608658376
hk_u_N500_IR4,L5 - L23,15,-0.0393476077299607,0.0451640118932,0.02541520917203355,0.07657199614886748
hk_u_N500_IR4,L6 - L23,15,-0.02993603165171793,0.0663869102631928,0.037358001202681033,0.11255373524010996
hk_u_N500_IR4,L7 - L23,15,-0.03065753237321866,0.057571380125232434,0.032397225287812366,0.09760770384302409
hk_u_N500_IR4,L8 - L23,15,-0.03811716605834256,0.06452833102855043,0.036312120245007615,0.10940266171869793
hk_u_N500_IR4,L9 - L23,15,-0.023629855982797186,0.05146432509750372,0.028960593455328646,0.08725367694280152
hk_u_N500_IR4,L10 - L23,15,-0.03211126201322282,0.04967214998799392,0.027952080186206037,0.08421518634307379
hk_u_N500_IR4,L11 - L23,15,-0.014285714285714301,0.045399115757130924,0.02554750950649205,0.07697059608294936
hk_u_N500_IR4,L12 - L23,15,-0.011151901838176366,0.06272842948715578,0.03529925906979172,0.10635107156718697
hk_u_N500_IR4,L13 - L23,15,0.026834875364287126,0.05026369612904244,0.028284961794359208,0.08521810585654296
hk_u_N500_IR4,L14 - L23,15,0.00820447707702608,0.04079466093564267,0.02295643804260109,0.06916410852616707
hk_u_N500_IR4,L15 - L23,15,0.010736095785115389,0.03889351359865548,0.021886602675657993,0.0659408641671306
hk_u_N500_IR4,L16 - L23,15,0.022994888190966616,0.038590267976244826,0.021715956831743696,0.06542673529199217
hk_u_N500_IR4,L17 - L23,15,0.016674801233624748,0.04469925118880672,0.025153673714443367,0.07578403127650182
hk_u_N500_IR4,L18 - L23,15,0.024335441247205925,0.04099161196292377,0.02306726857658538,0.06949802335503892
hk_u_N500_IR4,L19 - L23,15,0.015438936517367859,0.048080502708240436,0.02705641023025326,0.081516674756817
hk_u_N500_IR4,L20 - L23,15,0.011202123947221976,0.04614208431679534,0.025965601269393176,0.07823024028426351
hk_u_N500_IR4,L21 - L23,15,0.02079336785219136,0.035768184422802114,0.020127881707210724,0.060642116700158594
hk_u_N500_IR4,L22 - L23,15,0.01436729573984475,0.040656953000034704,0.022878945458540984,0.06893063565533407
hk_u_N500_IR9p35,L0 - L23,15,-0.12821331446331447,0.06829418965469215,0.03843128726945233,0.11578737601068753
hk_u_N500_IR9p35,L1 - L23,15,-0.11629308962642296,0.08144777164781948,0.045833221324986455,0.13808822988751518
hk_u_N500_IR9p35,L2 - L23,15,-0.1070429878763212,0.05946380020250662,0.0334621495513834,0.10081615182616034
hk_u_N500_IR9p35,L3 - L23,15,-0.06571476363143029,0.052722280708088716,0.029668484619819385,0.08938644079905371
hk_u_N500_IR9p35,L4 - L23,15,-0.06419581961248629,0.05322975210863066,0.02995405472869495,0.09024681826551631
hk_u_N500_IR9p35,L5 - L23,15,-0.06669914961581626,0.05025260640778783,0.02827872125961637,0.08519930411467805
hk_u_N500_IR9p35,L6 - L23,15,-0.055794359961026635,0.049798230439392834,0.028023029619404866,0.08442894573765092
hk_u_N500_IR9p35,L7 - L23,15,-0.036204119954119936,0.06808368400121101,0.038312829121230914,0.11543048038932892
hk_u_N500_IR9p35,L8 - L23,15,-0.041664785831452486,0.05634293003094718,0.0317059378048161,0.0955249642469244
hk_u_N500_IR9p35,L9 - L23,15,-0.04725086641753308,0.046355753165206744,0.02608583944683332,0.0785924988514692
hk_u_N500_IR9p35,L10 - L23,15,-0.034505201588534914,0.059017194449452685,0.03321083045559226,0.10005896723228999
hk_u_N500_IR9p35,L11 - L23,15,-0.009912849496182815,0.056745013308531385,0.03193220270414666,0.09620666451871394
hk_u_N500_IR9p35,L12 - L23,15,-0.02135025468358803,0.06309620056846053,0.035506215417710686,0.10697459823456819
hk_u_N500_IR9p35,L13 - L23,15,-0.020287243620576954,0.06323790740422325,0.03558595830858878,0.10721485092310148
hk_u_N500_IR9p35,L14 - L23,15,0.0035215556048889115,0.053543963899541705,0.030130871580333538,0.09077953940863495
hk_u_N500_IR9p35,L15 - L23,15,-0.010908828825495487,0.06041270862941544,0.03399613015107021,0.10242495072079154
hk_u_N500_IR9p35,L16 - L23,15,0.01191812816812816,0.04429536454950175,0.024926394006785885,0.07509927354810135
hk_u_N500_IR9p35,L17 - L23,15,0.022236313069646407,0.055432610930918655,0.031193672632376757,0.09398159049203172
